Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,Extent,Perimeter,Class
44939,3.176.167.119,1.833.152.147,816.632.082,46400,656.177.905,845.786,Kecimen
114648,5.081.289.326,2.889.539.812,822.570.794,118314,681.904.966,1.340.897,Kecimen
65727,4.031.942.717,2.100.732.642,853.542.978,67372,616.981.132,1.030.155,Kecimen
45683,3.332.625.321,1.777.720.961,845.844.473,48787,634.230.657,901.102,Kecimen
111450,4.783.109.708,298.630.592,781.149.506,113256,690.092.879,1.298.188,Kecimen
47581,3.068.118.747,203.097.502,749.538.262,49203,667.775.392,861.58,Kecimen
57127,3.116.445.775,2.386.419.206,643.138.024,59943,693.625.546,952.023,Kecimen
53006,3.333.813.698,2.068.807.081,784.164.747,55456,691.695.375,936.371,Kecimen
69060,3.284.888.612,2.758.888.648,542.783.247,72223,727.023.897,1.039.551,Kecimen
25387,225.629.541,144.618.672,767.577.386,26139,678.144.032,619.074,Kecimen
66774,3.485.579.747,2.464.762.569,707.082.253,69097,692.446.491,1.003.374,Kecimen
47839,3.126.013.291,1.987.512.989,771.855.496,50166,702.770.596,868.06,Kecimen
78571,4.438.222.908,2.287.576.146,856.934.002,81718,642.192.762,1157.33,Kecimen
64717,3.425.767.105,2.457.320.369,696.759.162,66649,66.254.095,997.989,Kecimen
60462,3.733.428.463,2.081.086.262,830.230.914,62213,665.683.112,990.547,Kecimen
59370,3.459.492.049,2.219.219.567,767.133.811,61464,697.485.902,981.517,Kecimen
54056,3.322.676.409,2.086.190.158,778.322.762,55539,674.553.259,912.153,Kecimen
89235,4.435.159.353,2.589.467.393,811.861.615,91201,655.190.643,1.179.694,Kecimen
51727,3.211.271.422,2.087.667.575,759.843.328,52913,751.889.645,903.308,Kecimen
71595,3.873.096.951,2.367.511.846,791.421.357,74045,718.536.732,1069.77,Kecimen
95347,4.515.261.542,2.802.261.534,784.111.496,99256,674.956.111,1.255.245,Kecimen
60449,3.838.002.498,2.081.687.832,840.127.895,64346,67.634.488,1.054.198,Kecimen
69006,3.793.178.462,2.418.502.909,77.037.364,72895,697.453.002,1.086.857,Kecimen
68520,373.235.638,2.370.415.232,772.430.874,70759,712.858.926,1.049.093,Kecimen
52731,3.099.772.864,2.197.253.525,70.536.589,54438,695.879.962,894.48,Kecimen
50570,3.113.447.951,2.083.178.983,74.318.078,51743,720.863.268,873.777,Kecimen
75825,3.912.043.013,2.485.002.712,772.332.349,77437,745.370.006,1.081.339,Kecimen
42637,2.934.295.802,1.894.321.576,763.692.969,44052,725.119.048,814.182,Kecimen
76984,4.250.481.856,2.339.734.424,834.859.339,78641,758.754.595,1.091.754,Kecimen
47851,3.231.525.189,1.916.109.615,805.244.577,49187,773.237.024,860.402,Kecimen
51220,3.286.476.055,2.025.088.754,787.598.712,52903,692.470.967,896.728,Kecimen
53890,3.310.863.197,2.165.794.558,756.366.569,57109,704.444.444,957.132,Kecimen
58650,3.463.389.582,2.196.843.649,773.083.296,62380,660.287.081,991.612,Kecimen
98935,3.875.169.377,3.268.987.235,537.014.933,100747,740.420.596,1176.6,Kecimen
77587,3.968.075.663,2.519.449.198,772.569.894,79970,703.864.647,1.100.836,Kecimen
180898,8.439.566.534,3.231.905.688,923.770.364,221396,454.188.929,2.253.557,Kecimen
71266,390.707.154,2.356.868.033,797.566.261,73002,66.062.887,1.034.183,Kecimen
39457,2.675.569.406,1.887.651.659,708.695.988,40472,697.576.154,755.822,Kecimen
35237,2.675.537.786,1.735.251.032,761.162.183,37418,706.832.223,750.909,Kecimen
49059,3.018.003.982,2.104.672.152,716.709.132,50835,698.607.314,867.582,Kecimen
53896,3.190.720.226,2.176.957.013,731.093.185,55392,745.944.749,889.626,Kecimen
56469,325.341.425,2.251.150.238,721.960.082,58697,685.736.144,933.896,Kecimen
85156,4.222.791.325,2.602.106.227,7.875.856,87057,702.560.887,1.140.684,Kecimen
67044,3.612.553.722,2.382.264.457,751.756.706,68626,756.943.504,989.016,Kecimen
52243,3.314.511.469,2.067.595.988,781.583.108,55774,714.434.188,934.547,Kecimen
38968,2.694.020.207,1.857.275.682,724.374.455,40147,737.583.283,769.242,Kecimen
79661,3.600.734.473,2.827.390.316,619.209.281,81032,779.156.886,1.045.658,Kecimen
59282,3.292.425.655,2.337.746.492,704.163.616,60580,725.925.745,920.573,Kecimen
48177,305.784.503,2.024.661.938,74.939.737,49877,677.642.591,860.548,Kecimen
74904,3.428.963.104,2.801.155.681,57.676.457,75898,731.741.628,1.012.365,Kecimen
81581,4.242.783.146,2.455.074.738,81.557.794,83143,762.382.252,1.114.736,Kecimen
57820,3.761.911.744,1.997.971.077,847.305.856,59968,714.780.201,978.85,Kecimen
57808,3.099.716.571,2.413.665.105,627.430.162,58954,710.346.522,911.857,Kecimen
55306,3.531.546.092,204.126.836,816.029.801,57396,743.990.207,973.259,Kecimen
59459,3.471.551.548,222.109.478,768.542.385,61585,709.619.286,966.329,Kecimen
44247,3.197.903.082,1.786.479.431,829.409.642,45872,677.637.221,842.121,Kecimen
48945,2.693.704.112,2.391.621.656,460.121.209,51456,711.244.478,872.289,Kecimen
68864,3.436.762.094,2.619.884.386,64.720.992,71726,698.347.024,1.035.022,Kecimen
82826,3.967.059.122,2.697.628.551,733.205.484,84981,745.434.745,1.115.811,Kecimen
65396,3.315.384.446,2.532.429.662,645.403.364,66783,764.829.716,975.425,Kecimen
81572,393.716.176,2.658.146.124,737.687.128,84964,698.270.844,1.187.338,Kecimen
44367,3.225.040.186,1.767.089.727,836.525.515,46531,732.999.603,883.973,Kecimen
51448,328.289.568,2.021.603.698,787.903.331,52772,704.805.743,877.799,Kecimen
50545,2.868.713.324,2.271.597.173,610.712.677,51771,835.454.545,847.664,Kecimen
94063,4.481.210.966,276.607.844,786.758.156,99085,70.929.382,1.259.451,Kecimen
84129,4.130.345.598,2.616.430.865,773.771.049,86242,713.834.797,1.144.973,Kecimen
79735,4.109.979.193,2.502.207.874,793.313.932,83306,749.044.143,1154.54,Kecimen
90176,390.207.341,2.947.622.385,65.526.509,91793,762.549.046,1.136.669,Kecimen
61492,3.564.260.216,224.163.105,777.470.812,65298,690.843.725,1.013.202,Kecimen
79532,3.675.260.058,2.772.241.619,656.532.102,81603,735.114.151,1.075.271,Kecimen
69302,3.549.636.669,2.544.527.709,697.235.919,71843,701.153.379,1051.02,Kecimen
52266,3.204.425.614,2.138.574.996,744.715.834,54116,684.289.081,923.19,Kecimen
51180,2.886.310.651,2.266.304.906,619.253.764,52396,737.442.725,855.997,Kecimen
55787,3.337.034.529,2.269.512.079,733.120.775,59520,688.592.377,977.425,Kecimen
96064,4.112.070.534,3.032.324.524,675.434.094,99609,731.331.126,1.223.904,Kecimen
54316,3.518.052.608,1.984.175.196,825.776.045,55960,655.895.281,930.627,Kecimen
70941,3.260.111.541,2.781.026.598,521.834.977,72330,76.010.929,993.05,Kecimen
55770,2.935.806.697,2.434.806.344,558.731.929,57633,740.165.631,900.109,Kecimen
47478,2.998.185.828,2.052.960.945,72.879.271,48900,720.914.695,861.179,Kecimen
88197,4.732.866.901,2.387.384.529,863.454.506,90297,658.456.829,1193.28,Kecimen
74728,355.310.549,2.707.408.973,647.596.035,76287,766.676.926,1.048.675,Kecimen
70788,3.626.507.703,2.494.037.249,725.972.018,71954,7.461.579,1.003.769,Kecimen
48894,3.180.989.115,1.974.955.028,783.919.938,50468,663.815.575,875.174,Kecimen
52051,3.137.032.602,2.136.317.375,732.283.957,53550,695.051.277,893.451,Kecimen
53270,3.361.488.879,2.043.070.754,794.099.752,55288,693.692.051,922.011,Kecimen
57227,35.443.108,2.075.949.862,810.518.333,59307,649.981.827,953.496,Kecimen
97026,4.559.715.909,2.730.538.098,800.869.044,99561,671.204.732,1.212.667,Kecimen
58495,3.687.395.425,2.057.578.712,829.838.749,61496,630.103.195,998.437,Kecimen
53758,3.595.316.125,1.934.008.772,842.992.995,57197,710.295.439,965.068,Kecimen
110616,4.611.445.532,306.899.065,74.638.361,112150,752.397.666,1.252.875,Kecimen
49175,2.814.314.214,2.244.858.963,603.110.639,50672,727.613.045,845.128,Kecimen
53698,3.482.232.313,1.977.528.973,823.103.652,56089,731.341.251,938.705,Kecimen
73125,408.940.773,2.312.190.014,824.810.334,75540,656.512.605,1.096.751,Kecimen
50445,3.083.589.121,2.088.552.452,735.695.738,51555,723.225.806,851.632,Kecimen
46742,3.035.552.029,1.994.459.327,753.861.393,48077,70.526.284,847.792,Kecimen
69317,3.933.989.966,228.722.883,813.616.588,72170,661.674.303,1.066.388,Kecimen
75314,3.926.515.582,2.460.756.721,779.258.691,77118,704.712.179,1.073.768,Kecimen
54428,3.391.147.492,2.066.458.262,792.887.194,56175,723.391.813,922.878,Kecimen
39509,2.862.315.627,1.804.373.603,776.279.027,41446,722.972.478,790.531,Kecimen
66568,3.422.503.611,2.495.505,684.358.117,68078,759.917.351,993.455,Kecimen
45264,2.905.883.604,2.033.191.422,714.455.428,48142,656.913.967,879.832,Kecimen
57980,336.312.888,2.226.097.658,74.958.095,59311,777.295.152,925.795,Kecimen
75114,368.730.119,2.624.744.722,702.348.195,77454,740.915.368,1.051.266,Kecimen
78991,3.626.408.695,2.790.908.401,638.518.237,80355,708.897.225,1.071.385,Kecimen
76253,3.642.255.696,2.695.167.915,672.637.467,78443,724.287.614,1.070.053,Kecimen
83229,423.844.374,253.809.071,800.879.085,86345,653.494.033,1.153.434,Kecimen
45962,2.511.333.844,2.353.680.757,348.729.642,47173,742.280.362,810.195,Kecimen
57766,344.737.416,2.151.097.845,78.143.908,59834,737.582.676,950.721,Kecimen
39669,252.748.198,2.022.643.597,599.652.719,41860,663.039.663,791.464,Kecimen
41050,316.841.636,1.673.283.344,849.173.815,42965,641.185.842,846.833,Kecimen
47771,3.115.249.871,197.090.849,774.425.873,49237,683.409.393,857.776,Kecimen
53389,301.845.898,2.285.166.995,653.340.582,55158,715.746.997,906.666,Kecimen
73319,3.923.626.656,2.391.884.853,792.700.937,75653,709.568.466,1.075.279,Kecimen
91831,4.633.578.718,2.579.511.277,830.713.904,95560,710.370.382,1.252.762,Kecimen
71452,3.979.614.266,2.397.987.804,798.067.621,73864,751.833.496,1.101.502,Kecimen
59970,3.530.016.249,2.196.829.418,782.756.248,61834,755.822.747,978.631,Kecimen
51683,3.252.398.678,2.089.148.245,766.419.171,54510,728.442.565,928.217,Kecimen
41283,2.681.253.606,1.996.354.013,667.555.617,42505,732.383.622,798.515,Kecimen
92735,436.985.567,2.715.787.847,783.428.223,94693,704.122.154,1.183.447,Kecimen
44627,2.972.593.228,1.947.602.777,755.467.225,46921,67.518.458,848.487,Kecimen
84260,4.113.973.639,2.629.740.989,769.022.556,85978,686.782.733,1.157.001,Kecimen
59076,3.504.871.954,2.166.793.239,786.002.573,61643,645.498.252,988.273,Kecimen
58741,3.454.854.484,2.223.818.455,765.295.307,60701,714.819.412,948.233,Kecimen
68627,4.118.885.236,2.168.939.999,850.122.963,70932,738.242.255,1.097.292,Kecimen
51941,3.492.261.695,1.918.173.343,835.648.938,53893,708.995.359,912.259,Kecimen
77161,3.942.783.917,25.321.136,766.524.847,82746,671.900.035,1.127.409,Kecimen
85105,3.822.899.916,2.887.584.072,655.334.662,88056,776.944.987,1.139.446,Kecimen
52508,2.976.969.009,2.262.519.485,649.914.023,53588,756.163.594,862.778,Kecimen
39941,2.518.477.358,2.084.681.478,561.090.145,41594,70.757.157,777.663,Kecimen
48693,3.065.739.068,2.042.806.212,745.653.394,50298,740.127.679,848.422,Kecimen
87858,441.224.088,2.556.622.254,815.015.963,90905,708.726.586,1.176.287,Kecimen
67718,3.739.240.984,2.332.332.051,781.628.075,71102,736.994.471,1.024.993,Kecimen
63968,3.330.124.213,2.478.885.463,66.775.371,65403,756.999.834,953.445,Kecimen
43461,3.337.059.198,1.693.095.334,861.733.321,45669,677.934.111,867.446,Kecimen
81546,3.813.486.543,2.738.100.991,696.038.327,82807,711.719.732,1.057.448,Kecimen
43563,2.965.221.609,1.881.957.136,772.777.753,45174,696.283.865,817.41,Kecimen
36145,2.807.576.527,1.665.935.504,804.928.834,37401,812.265.444,747.161,Kecimen
57741,3.164.840.294,2.342.836.291,672.309.707,58976,712.711.069,906.829,Kecimen
69024,3.728.219.867,2.376.598.183,770.481.865,70649,721.042.955,1.015.771,Kecimen
78982,4.211.618.485,2.416.404.129,819.032.478,81442,753.436.549,1.102.423,Kecimen
78240,4.019.300.875,2.498.313.709,783.351.347,79677,757.992.637,1.059.644,Kecimen
87036,3.849.699.031,2.894.539.006,659.291.894,88336,727.896.163,1094.59,Kecimen
37569,2.324.278.475,2.081.520.065,44.495.009,38874,794.371.379,734.102,Kecimen
79748,4.419.342.925,2.317.175.312,851.517.765,81718,738.448.432,1.120.963,Kecimen
44156,3.077.069.822,1.860.924.236,796.399.015,45285,633.605.969,820.714,Kecimen
87302,3.929.101.168,2.841.790.677,690.568.105,89605,73.824.584,1122.16,Kecimen
69312,3.738.031.053,2.371.945.766,77.288.661,70719,706.155.633,1.001.236,Kecimen
86545,3.501.278.744,3.157.195.205,432.307.345,87512,785.886.818,1.070.062,Kecimen
59729,3.370.434.753,2.318.092.351,725.926.293,62511,683.711.081,966.438,Kecimen
59822,3.365.840.696,2.279.495.391,735.758.503,60648,700.286.801,916.044,Kecimen
63452,3.348.459.883,2.432.364.806,687.258.427,64925,735.317.295,945.523,Kecimen
61996,3.337.476.396,243.540.245,683.752.754,63641,673.137.894,958.627,Kecimen
74763,391.227.169,2.455.420.203,778.519.786,77508,686.113.099,1.063.377,Kecimen
73193,401.072.302,2.358.289.934,808.863.683,75563,740.115.679,1.050.909,Kecimen
66508,3.449.045.201,2.490.897.821,691.685.086,69240,703.014.672,1.001.714,Kecimen
74849,3.799.250.258,2.526.171.178,746.920.746,76154,735.392.657,1.040.788,Kecimen
38585,2.744.450.783,1.809.575.592,751.829.118,39926,696.593.309,762.439,Kecimen
61377,3.397.334.965,2.340.242.375,724.907.214,64027,705.612.526,975.553,Kecimen
39547,2.594.226.253,1.984.655.312,643.997.206,40765,733.384.022,763.979,Kecimen
49998,3.017.807.071,212.326.943,710.615.819,50857,779.294.866,834.328,Kecimen
49063,2.947.482.868,217.913.109,673.354.968,50732,658.811.365,869.795,Kecimen
46961,3.437.885.277,1.771.367.946,857.040.355,48476,61.463.255,891.528,Kecimen
57271,3.726.991.236,1.969.761.351,848.925.537,58786,769.151.222,949.936,Kecimen
58909,3.473.439.411,2.181.227.905,778.234.722,60379,704.257.176,944.879,Kecimen
51336,3.218.844.382,2.061.461.473,768.012.151,53944,742.600.897,898.546,Kecimen
62422,3.245.569.613,247.707.867,646.140.518,64021,716.062.129,947.541,Kecimen
48447,3.310.510.122,1.899.172.045,819.079.815,49996,625.615,883.044,Kecimen
64364,3.766.624.701,2.216.551.009,808.518.015,67510,654.744.466,1.057.897,Kecimen
72915,4.147.180.727,2.295.557.698,832.834.246,76912,679.771.405,1.131.096,Kecimen
49414,290.458.237,2.194.182.435,65.523.977,51029,711.033.729,869.188,Kecimen
45723,2.911.972.864,2.030.202.207,716.885.111,48658,648.829.289,875.764,Kecimen
64988,3.713.536.275,2.269.099.341,79.160.385,67847,67.011.755,1.048.186,Kecimen
56709,293.408.498,2.477.165.958,535.914.821,58143,778.285.573,904.508,Kecimen
93559,4.386.343.535,2.755.829.735,777.991.385,95750,687.069.934,1.198.259,Kecimen
81916,398.326.553,2.654.181.085,74.565.434,85615,663.072.689,1.113.144,Kecimen
79274,4.069.762.258,2.552.178.271,778.932.753,81976,708.385.459,1.110.378,Kecimen
88724,4.464.304.557,2.603.787.541,812.295.614,92630,656.529.107,1.216.535,Kecimen
65469,3.744.662.312,2.275.389.974,794.215.984,68018,714.438.491,1.020.029,Kecimen
75799,3.409.827.093,28.915.047,530.009.681,79230,741.100.324,1.065.191,Kecimen
76741,3.839.821.631,2.581.339.883,740.319.531,79198,745.202.952,1056.74,Kecimen
54219,3.442.908.319,2.044.966.891,804.490.914,56526,688.495.238,931.43,Kecimen
52693,2.835.042.387,2.421.139.544,520.265.279,54860,737.749.216,895.745,Kecimen
84539,4.415.288.902,2.483.743.168,826.775.225,87728,687.577.266,1.169.983,Kecimen
34559,2.645.151.675,1.689.830.565,769.339.036,36516,664.187.423,750.365,Kecimen
49715,3.023.473.906,2.133.645.111,708.517.498,52250,650.107.229,877.43,Kecimen
39716,2.430.382.802,2.101.140.569,502.579.995,40598,779.432.833,737.468,Kecimen
46845,2.649.672.544,225.842.499,52.298.617,47739,759.090.614,799.991,Kecimen
52547,3.583.657.191,1.892.067.438,849.262.336,54649,703.402.763,929.471,Kecimen
41593,3.106.748.925,1.783.232.873,818.864.551,44753,572.669.696,870.063,Kecimen
44460,294.624.132,1.975.565.774,741.875.489,47486,647.425.443,849.225,Kecimen
51145,3.173.482.375,2.110.255.917,746.874.181,53531,710.051.367,895.04,Kecimen
43345,3.238.592.139,1.751.857.446,841.066.464,46785,649.275.753,877.02,Kecimen
53987,3.313.506.586,2.131.674.456,765.589.944,56076,673.221.768,931.117,Kecimen
59514,3.686.379.093,2.091.269.246,823.513.752,61469,755.157.975,968.36,Kecimen
85739,3.803.703.785,2.882.561.589,652.451.831,87052,762.151.543,1.094.576,Kecimen
56096,3.133.863.101,2.322.824.399,671.282.476,58701,711.769.781,929.115,Kecimen
46120,3.000.971.584,2.012.063.136,741.936.124,49996,628.971.988,907.025,Kecimen
57676,3.339.700.499,2.222.744.566,746.351.424,58991,688.668.657,926.255,Kecimen
62064,3.523.686.704,2.278.641.444,762.774.955,64811,650.566.038,1.004.245,Kecimen
50274,3.053.972.558,2.122.734.472,718.938.975,52016,687.507.692,868.951,Kecimen
77225,3.621.373.458,2.770.098.428,644.113.015,80872,732.483.472,1110.44,Kecimen
45598,2.598.962.651,2.256.562.198,496.118.267,47266,741.286.253,813.276,Kecimen
38545,283.987.539,1.754.205.147,786.409.924,39765,760.436.395,770.59,Kecimen
39439,2.467.636.115,212.635.393,507.423.663,42795,646.827.284,793.005,Kecimen
74109,4.167.127.171,2.305.595.405,832.994.182,78032,706.459.362,1.095.055,Kecimen
41755,2.967.883.761,1.841.913.772,784.115.281,43362,691.330.839,804.559,Kecimen
61463,3.693.997.455,2.136.196.205,81.583.235,63117,786.776.754,966.493,Kecimen
43743,300.906.335,1.858.512.318,786.462.407,44836,670.082.721,802.261,Kecimen
73499,3.460.510.824,2.755.139.073,605.079.015,76355,73.124.602,1.050.012,Kecimen
40403,2.892.593.164,1.792.233.834,784.922.337,41209,722.204.347,761.949,Kecimen
62343,3.482.887.882,2.328.200.404,743.740.567,63897,705.620.699,979.447,Kecimen
46008,2.968.792.842,2.120.277.194,699.953.594,48762,69.527.897,860.58,Kecimen
43495,2.716.466.724,2.051.640.687,655.424.446,44535,754.021.912,785.843,Kecimen
50649,3.271.109.948,1.995.409.197,792.393.852,52462,766.294.481,875.267,Kecimen
61235,3.490.264.129,2.268.031,760.091.178,63504,718.720.657,974.079,Kecimen
78883,3.951.000.971,2.569.649.659,759.609.525,80973,678.446.719,1.092.709,Kecimen
58734,3.674.839.462,2.050.210.803,829.904.913,59845,757.476.883,945.191,Kecimen
68253,3.884.547.229,2.247.316.909,815.662.968,70347,746.130.132,1.042.257,Kecimen
62401,3.943.975.005,2.031.386.868,857.153.654,64722,740.084.919,1.004.349,Kecimen
73046,3.973.381.636,2.348.282.406,806.669.001,74242,690.650.883,1.037.399,Kecimen
54968,3.009.544.323,23.438.957,627.246.499,56851,75.133.953,893.644,Kecimen
84057,4.527.756.953,2.452.199.818,840.641.076,86710,622.017.819,1.179.024,Kecimen
90178,466.249.387,2.501.043.018,843.952.802,92321,752.003.469,1.180.478,Kecimen
67883,3.831.890.177,2.333.566.734,793.181.118,70360,697.810.444,1.030.869,Kecimen
43901,3.041.003.495,1.912.982.735,777.354.334,46443,648.741.706,884.495,Kecimen
33662,2.272.937.917,1.911.090.383,54.134.302,34787,792.998.657,699.415,Kecimen
77043,3.886.927.274,2.575.462.902,748.976.897,80094,72.693.048,1.112.212,Kecimen
64875,393.214.664,2.129.548.238,840.653.105,67701,77.052.354,1.014.789,Kecimen
42609,2.801.490.165,2.002.718.741,699.251.006,44944,673.127.962,840.167,Kecimen
79510,3.807.191.934,2.670.341.186,712.773.879,81779,73.159.735,1.075.307,Kecimen
58857,3.208.119.081,2.353.860.453,679.452.185,60597,690.364.202,927.048,Kecimen
67754,3.491.971.378,2.516.796.378,693.207.597,69536,655.261.122,1.032.358,Kecimen
54842,3.082.324.435,2.272.577.315,67.557.273,55879,73.819.523,887.109,Kecimen
78352,4.088.096.881,2.454.408.089,799.715.505,80474,684.273.038,1.099.512,Kecimen
72447,4.017.420.402,2.315.372.369,817.214.876,74481,709.103.722,1.055.302,Kecimen
58239,3.242.950.626,2.309.972.581,70.186.924,59977,721.190.282,940.22,Kecimen
93879,409.486.907,2.929.160.989,698.792.225,96072,767.668.921,1.174.166,Kecimen
68129,3.811.754.896,2.300.560.205,79.733.001,70141,65.970.447,1.050.867,Kecimen
74426,4.116.968.203,2.317.495.984,826.515.979,76449,679.453.706,1.071.612,Kecimen
60650,3.243.616.267,2.422.285.019,665.065.172,62580,721.542.781,941.486,Kecimen
136340,7.228.539.172,3.113.413.551,902.489.762,176818,529.774.048,2.098.263,Kecimen
65051,3.812.139.503,2.182.168.451,81.995.626,66476,644.356.396,1.002.035,Kecimen
72219,3.766.504.925,2.495.294.544,749.065.428,74373,777.794.531,1.050.221,Kecimen
81405,4.210.948.928,2.480.867.654,808.025.921,83634,713.728.344,1.148.651,Kecimen
70196,3.731.976.471,2.438.811.053,756.934.744,71937,690.789.927,1.024.256,Kecimen
69120,352.011.403,2.508.148.535,701.652.699,70274,703.439.853,978.434,Kecimen
56327,2.977.657.247,2.419.344.257,582.962.247,58178,727.739.018,915.496,Kecimen
54983,2.928.989.067,2.484.080.201,529.833.692,58095,725.273.711,921.613,Kecimen
105020,4.403.896.311,3.061.052.886,718.934.015,107423,714.616.222,1.228.366,Kecimen
36113,2.576.418.527,1.811.570.788,71.105.609,37442,694.480.769,737.637,Kecimen
87429,4.089.260.276,2.738.879.417,742.565.182,89063,703.574.648,1.120.019,Kecimen
57785,3.144.309.771,236.183.035,660.138.051,58867,732.865.767,903.769,Kecimen
69846,3.684.507.096,2.439.751.621,749.358.072,72585,676.723.637,1.040.716,Kecimen
81456,4.043.163.937,2.588.920.062,768.107.985,83499,725.472.034,1.103.153,Kecimen
61959,3.395.850.181,2.346.979.363,722.728.935,64424,712.041.464,970.754,Kecimen
61730,3.761.885.565,2.106.115.221,82.858.974,63756,632.188.028,989.499,Kecimen
62835,4.211.693.384,1.911.698.622,891.051.301,64406,786.145.031,1.018.553,Kecimen
52651,3.408.169.568,204.432.884,800.126.045,56217,683.504.044,915.939,Kecimen
67093,3.531.098.719,2.430.010.336,725.545.687,68383,76.069.161,972.971,Kecimen
45160,2.705.553.766,2.201.186.723,581.451.809,46805,686.071.949,833.117,Kecimen
58989,3.626.681.085,2.095.097.184,81.625.629,60916,732.782.609,950.717,Kecimen
44007,3.593.755.027,1.617.023.657,893.051.844,48490,644.743.975,901.17,Kecimen
65062,344.309.794,2.426.836.332,709.365.401,65825,769.218.037,948.889,Kecimen
