'Temperature', 'Humidity', 'Humidity of the terrain', 'Luminosity', 'Ph', 'Speed of the wind'
32,94,98,43,6,25
15,31,76,63,7,1
38,33,13,2,7,21
17,82,16,40,5,20
42,34,44,59,5,5
29,34,32,70,6,2
16,79,80,4,7,6
30,94,7,51,7,14
29,94,59,6,6,22
25,81,66,59,5,17
23,83,31,53,4,5
15,90,47,2,5,29
41,66,1,58,5,26
25,55,79,90,4,11
22,50,92,61,4,5
34,81,74,3,5,22
22,76,31,38,4,28
43,61,7,48,6,22
20,40,37,17,6,21
35,61,87,34,7,19
39,91,1,94,4,5
22,45,21,95,7,13
20,76,56,74,4,19
18,84,7,54,7,8
28,60,75,58,7,9
22,77,75,58,4,10
19,93,65,55,7,7
43,34,73,25,5,21
39,42,11,74,5,24
35,61,10,84,7,26
21,45,95,96,5,20
27,35,67,27,4,21
44,49,61,66,7,15
17,98,39,89,4,16
25,46,70,16,7,11
33,59,93,60,7,4
38,95,30,78,4,20
41,82,80,79,4,26
40,35,35,58,5,6
35,35,83,10,7,9
42,80,58,3,6,7
43,76,83,95,6,22
22,57,59,24,4,13
44,36,88,19,6,4
38,46,23,31,4,21
37,30,61,9,6,26
18,52,35,22,6,17
32,77,39,84,5,4
16,85,93,59,4,13
42,75,91,25,7,25
42,70,51,3,6,8
19,43,22,74,4,13
17,91,21,16,5,4
27,86,96,2,7,28
26,74,38,68,4,19
27,32,35,2,4,6
36,94,3,59,5,1
36,90,31,92,5,20
16,74,40,60,6,18
31,77,50,98,5,11
39,39,63,92,4,12
42,77,22,65,4,21
16,56,95,79,6,11
15,95,85,84,5,1
21,49,46,1,6,12
23,40,59,52,5,0
37,59,65,24,6,24
43,35,46,3,5,26
37,83,39,28,6,27
31,80,55,30,4,22
38,30,92,1,6,15
31,45,84,78,7,9
34,99,48,85,5,29
23,86,62,0,5,22
36,45,30,35,4,29
19,31,23,15,7,2
37,64,79,69,7,16
29,97,28,69,7,28
40,70,30,82,4,19
15,82,2,37,5,6
23,83,76,34,4,1
21,84,7,0,6,20
21,90,4,79,4,0
25,32,7,8,4,26
42,74,64,19,4,21
23,72,78,70,7,18
35,85,26,71,4,7
27,36,33,83,6,27
33,32,68,49,5,14
20,82,46,29,7,19
15,74,10,42,7,17
18,40,81,76,7,29
40,71,71,62,6,10
38,30,32,91,4,4
23,36,44,86,5,20
24,54,47,36,7,10
36,95,42,27,5,8
15,30,6,96,5,7
29,81,66,18,6,11
30,86,9,18,5,11
23,50,29,3,7,28
23,81,1,48,6,18
21,91,53,40,6,27
22,52,71,38,4,15
38,80,90,81,5,9
23,59,91,64,4,13
42,74,69,74,5,11
25,98,48,11,4,23
31,68,73,51,6,11
44,69,73,89,6,11
36,33,72,53,6,28
34,67,76,69,5,14
33,54,49,19,4,13
31,55,52,20,4,0
44,90,32,29,7,5
23,75,93,85,7,13
29,66,71,63,4,15
33,85,40,70,7,22
38,43,88,82,7,28
17,54,38,55,7,8
33,74,95,39,5,4
27,59,41,85,5,16
40,78,4,2,6,10
35,90,85,98,6,24
35,96,69,38,5,7
33,39,27,89,5,17
30,86,95,0,6,2
25,87,44,94,7,15
23,64,15,82,5,9
35,78,97,48,6,5
38,52,44,27,4,8
23,77,30,17,5,2
43,54,97,6,5,16
23,85,59,24,6,24
16,91,87,15,7,14
24,38,84,3,7,25
39,69,17,47,5,2
38,87,23,64,5,29
38,50,73,13,5,9
17,87,67,94,7,11
20,45,88,34,4,25
19,91,29,14,4,29
33,96,55,19,5,12
33,96,91,77,6,22
42,61,19,71,7,13
19,80,71,64,6,4
43,61,16,91,6,17
15,64,9,36,7,26
40,73,79,25,6,8
35,36,29,20,5,14
20,71,64,95,4,20
20,83,52,58,7,12
28,33,95,43,7,5
27,44,54,58,4,2
19,62,7,7,7,12
43,99,16,4,6,15
37,57,61,43,5,13
26,51,50,74,6,29
25,30,92,21,6,27
43,34,97,16,4,11
25,36,36,2,7,3
18,77,77,97,4,4
19,94,19,46,4,9
38,50,28,42,4,13
15,79,39,87,7,1
41,84,82,3,5,4
29,76,26,35,7,4
23,45,40,68,5,6
40,81,35,85,4,16
39,30,44,59,4,26
22,62,45,61,7,15
41,41,88,52,5,26
25,68,81,65,6,29
21,44,4,86,4,29
38,83,65,78,6,19
44,99,64,58,7,5
21,60,8,28,7,18
22,55,30,64,6,26
43,50,71,73,6,3
36,79,96,61,5,10
29,79,33,3,4,10
20,67,74,5,4,1
19,59,98,71,7,1
27,44,3,53,5,5
37,57,42,31,7,25
15,80,33,77,7,6
18,77,1,57,6,18
16,41,57,24,4,17
27,91,38,93,5,0
29,87,73,83,7,8
40,65,12,52,7,7
28,92,52,29,4,22
38,87,42,73,7,5
42,88,55,78,5,22
41,94,86,60,5,17
21,95,68,63,5,22
32,41,9,40,7,1
27,92,54,37,5,3
27,87,9,76,5,5
16,85,15,73,4,14
22,90,72,92,7,23
29,68,68,17,6,17
26,45,24,82,6,26
39,46,16,18,7,3
21,34,21,29,4,8
15,85,71,93,4,21
33,75,93,4,5,15
25,35,53,52,7,11
20,37,99,62,5,27
30,34,42,9,4,13
24,86,29,93,7,29
33,75,48,25,4,26
25,77,15,74,5,24
28,50,79,93,7,24
36,77,43,72,7,28
32,38,20,46,5,1
22,98,26,83,5,7
19,40,23,90,4,22
41,45,31,0,4,10
26,58,70,41,4,2
44,85,1,59,4,21
41,78,47,34,7,19
16,71,55,86,5,11
33,61,65,65,6,9
28,60,87,68,5,14
43,60,56,32,6,28
32,40,33,4,6,11
29,36,32,26,5,18
26,66,61,12,6,11
16,81,65,19,6,26
18,43,78,74,7,27
19,77,97,60,6,5
15,71,46,48,6,23
17,34,1,15,5,22
41,64,16,1,4,15
17,52,43,90,7,8
29,75,40,15,5,10
24,51,8,66,4,18
38,39,68,90,5,7
35,77,47,17,6,9
17,91,73,31,5,15
19,78,93,40,5,18
44,79,93,77,5,2
30,51,24,24,4,18
21,33,21,56,5,10
39,45,13,22,4,13
39,90,26,11,6,6
31,34,78,88,4,4
39,36,94,92,7,8
36,32,99,93,7,24
18,82,63,51,6,20
38,75,55,53,7,6
20,63,39,2,4,3
38,35,23,93,4,4
38,62,64,21,4,6
19,66,29,60,4,3
44,62,37,70,4,20
44,92,24,20,7,7
40,50,11,88,4,9
37,74,16,0,6,6
34,72,2,25,5,3
44,49,0,29,6,1
37,76,96,18,6,8
39,62,20,92,5,23
37,32,95,68,5,0
35,77,18,61,7,16
15,67,99,83,5,28
44,95,73,47,7,13
21,95,10,53,4,21
33,95,14,1,6,2
31,67,44,31,5,3
21,97,14,63,4,10
36,45,52,72,6,1
17,84,16,77,5,15
35,91,51,86,6,2
30,45,29,53,5,15
23,39,72,95,5,21
20,77,68,96,6,4
41,34,90,79,6,16
43,81,80,34,5,29
43,80,92,6,6,15
27,36,63,87,5,23
40,75,58,79,7,21
37,46,14,77,7,23
32,67,96,4,6,9
24,39,94,73,6,10
30,58,66,40,5,22
39,59,41,72,7,16
21,59,89,57,6,22
144,36,13,84,4,10
44,84,62,75,7,16
20,37,10,61,4,13
38,66,40,76,6,24
15,33,21,92,4,6
32,75,49,99,5,21
26,96,15,29,5,6
42,36,50,68,7,15
31,88,2,8,5,20
31,38,84,20,4,23
40,40,19,33,5,19
39,30,3,39,7,18
40,44,25,10,7,9
18,33,11,87,7,9
41,87,71,95,4,1
31,79,27,85,6,29
36,88,70,64,5,4
34,43,0,71,4,23
34,34,19,4,4,22
28,90,44,83,5,1
23,54,70,6,4,9
43,40,66,78,7,18
24,87,63,10,4,25
44,47,4,89,7,3
38,78,35,47,6,24
15,59,67,64,4,2
44,39,86,55,7,24
32,54,43,7,6,6
34,92,7,23,7,19
39,84,82,81,7,27
15,78,56,98,4,12
17,37,6,75,4,15
31,65,19,37,4,10
39,53,23,46,5,11
42,56,80,28,6,5
25,94,30,24,5,29
16,40,89,7,6,10
36,81,26,47,5,2
36,70,19,18,5,17
35,33,36,50,4,5
39,55,92,31,7,21
35,30,43,73,7,17
33,71,76,19,5,23
36,48,40,88,5,19
31,58,97,97,4,22
39,92,64,16,7,18
16,35,41,35,4,9
19,75,69,10,4,2
25,53,30,87,7,20
23,61,32,9,7,19
29,47,79,4,7,1
19,99,46,17,7,24
44,70,76,90,7,11
18,31,17,57,6,17
28,46,83,1,5,12
38,89,36,75,7,23
44,50,81,74,6,25
39,86,33,12,6,7
44,43,86,86,6,25
20,57,20,57,5,0
21,96,50,23,6,10
32,35,70,16,7,18
30,95,82,36,7,23
26,45,58,82,6,21
41,42,15,38,6,7
41,97,12,65,6,4
19,40,3,16,4,28
35,33,88,81,4,3
44,72,16,18,5,0
36,98,36,97,6,2
20,96,39,60,6,25
18,58,12,58,7,0
25,47,53,87,6,10
20,45,1,59,6,2
22,65,43,93,5,22
43,47,51,11,4,25
29,77,41,28,5,23
30,42,48,58,4,23
44,82,46,87,6,23
40,76,93,21,6,7
19,35,68,60,5,18
17,87,14,3,7,29
20,93,25,37,5,10
24,41,80,43,4,29
24,39,83,60,4,21
41,77,2,14,4,11
44,57,61,91,5,15
15,81,52,77,5,10
16,50,7,79,4,16
41,54,58,97,6,15
32,98,21,17,5,26
42,75,90,30,7,17
29,31,9,19,6,6
31,50,35,74,4,23
17,94,57,33,7,9
38,58,51,52,6,0
20,68,6,79,4,29
31,61,29,22,6,21
43,92,79,32,4,7
21,43,90,24,4,4
34,99,8,71,4,23
27,87,86,79,6,20
41,30,92,94,7,8
44,83,52,6,4,15
25,98,42,31,6,8
23,53,46,53,7,26
16,74,59,54,7,15
25,57,10,99,4,11
35,44,24,22,5,23
42,99,95,39,7,21
27,85,64,48,4,3
40,72,94,38,6,27
24,79,54,1,6,8
28,80,91,36,6,17
34,98,13,79,5,22
18,63,6,99,4,29
26,51,52,4,6,24
28,65,24,36,4,18
27,72,45,8,6,13
26,74,58,4,7,23
36,65,20,27,4,2
44,49,41,55,4,5
27,88,63,76,4,19
27,71,32,44,6,17
33,65,37,0,5,27
