'Temperature', 'Humidity', 'Humidity of the terrain', 'Luminosity', 'Ph', 'Speed of the wind'
34,32,37,12,7,10
32,90,87,78,7,12
33,35,98,19,7,18
40,61,98,33,6,29
16,54,25,63,5,25
15,98,28,42,4,11
23,54,6,68,6,19
29,38,55,82,5,9
21,96,50,37,4,17
26,87,80,25,4,29
30,85,22,51,5,18
32,48,57,17,4,28
20,99,7,94,6,24
25,58,78,98,6,16
37,85,9,8,5,25
30,51,67,24,5,9
32,46,59,20,7,6
23,38,20,3,4,13
19,85,84,57,5,1
31,32,47,71,4,20
15,55,75,34,6,18
35,58,26,85,7,14
32,42,40,88,5,3
41,44,8,23,5,13
17,52,47,21,4,5
26,63,15,88,4,23
30,67,69,83,7,29
40,31,23,18,6,4
21,68,98,0,4,2
32,51,78,47,5,1
38,88,80,13,5,17
32,36,55,56,7,4
33,85,91,32,7,0
33,69,19,8,4,16
39,62,88,0,6,5
37,96,18,56,5,9
44,95,66,91,4,28
20,62,53,72,6,4
22,95,97,19,6,23
42,43,48,66,5,1
21,40,60,21,4,5
29,43,77,4,7,13
28,87,54,95,6,21
15,44,70,31,4,21
21,97,10,35,4,28
43,92,54,22,4,17
39,81,5,55,4,26
42,46,89,32,4,14
42,70,86,2,5,14
35,47,73,82,5,12
34,56,80,73,5,29
37,73,26,10,5,11
34,34,86,15,5,22
19,98,41,24,4,18
21,86,94,22,5,3
23,33,63,0,5,8
22,84,69,52,4,26
37,82,65,82,4,25
33,33,32,7,7,19
32,36,24,7,4,6
33,96,47,15,6,25
29,92,82,51,6,16
38,76,43,65,6,25
44,35,65,95,5,28
22,54,89,83,7,7
42,84,70,84,6,16
31,97,17,71,7,21
25,89,74,92,6,3
38,76,44,33,6,26
41,57,25,37,5,6
21,44,24,95,7,3
43,43,36,31,6,18
18,42,78,83,6,17
26,67,19,88,4,3
20,66,73,50,6,24
36,90,5,0,5,2
40,84,9,58,7,10
25,74,0,75,4,17
22,50,82,81,6,26
36,81,26,75,4,15
41,62,94,86,7,5
25,70,66,96,4,26
38,31,66,88,6,25
18,51,12,10,5,14
22,47,87,20,6,26
35,83,26,7,7,0
20,56,42,15,7,2
38,84,14,66,6,13
20,30,47,3,7,29
24,66,16,80,4,26
35,41,96,42,4,22
27,82,10,22,7,29
34,58,12,20,4,6
43,39,9,49,7,17
28,71,43,70,6,16
32,79,20,35,6,28
34,65,39,60,6,22
21,80,60,75,6,28
41,82,29,52,7,28
41,98,11,21,5,1
27,48,7,27,6,5
30,34,99,6,5,9
37,49,61,90,6,25
21,55,0,73,6,23
41,71,55,18,4,22
21,73,57,59,4,21
23,83,63,57,7,3
44,47,42,68,4,15
39,56,32,0,5,0
16,87,21,22,4,10
44,84,30,16,4,12
32,54,55,64,6,12
39,64,45,12,5,24
21,67,95,51,7,29
25,53,67,9,6,28
22,46,68,60,6,0
39,51,49,30,6,14
31,40,61,9,4,5
42,54,6,3,5,20
41,58,8,63,5,26
33,67,84,99,4,22
15,92,58,36,7,13
17,45,55,13,7,20
23,63,19,9,4,15
36,70,61,65,4,5
37,79,15,76,4,18
33,42,23,69,7,22
37,79,66,43,5,15
37,50,13,6,4,3
41,85,48,69,4,1
39,91,2,49,5,7
25,94,26,10,6,20
20,57,61,21,5,29
31,92,35,99,7,12
28,82,27,46,7,22
35,99,21,73,5,24
24,94,44,20,4,12
41,89,70,81,5,8
44,67,50,3,7,7
19,98,94,13,4,1
34,92,17,20,5,15
39,63,24,40,7,11
24,43,75,83,5,11
41,79,71,98,4,12
32,57,33,91,7,26
35,48,54,40,7,29
43,31,53,32,4,28
31,96,43,20,4,0
15,86,57,68,6,10
36,70,92,76,5,23
17,53,4,70,6,7
39,82,68,38,5,27
19,83,10,17,5,16
31,99,80,29,6,19
32,83,93,47,5,6
27,38,66,82,6,3
34,61,49,21,5,7
28,36,68,26,4,25
16,45,24,70,6,19
22,53,57,37,5,7
19,44,43,51,6,4
34,92,94,52,6,21
43,89,22,74,4,8
19,71,22,92,7,25
37,67,35,77,4,13
25,54,25,35,5,24
25,64,12,79,6,21
30,53,54,0,5,8
24,69,28,35,5,15
15,79,24,34,6,26
32,55,71,15,5,29
40,78,68,1,6,28
30,47,49,13,7,15
32,52,68,94,4,23
35,64,42,73,6,24
38,96,28,90,7,11
18,77,93,86,7,26
40,72,70,22,5,0
20,86,40,41,7,6
16,96,1,79,7,7
43,53,90,10,6,22
36,51,51,67,7,22
24,40,87,64,7,12
16,74,62,36,7,9
39,82,31,41,4,7
22,83,57,97,5,9
40,78,77,5,5,26
33,60,72,77,4,8
25,86,86,5,7,9
44,32,63,72,7,0
41,85,19,14,5,12
16,36,59,11,7,5
31,99,66,56,7,27
41,46,60,43,5,24
36,76,13,7,6,2
29,81,55,1,7,11
31,35,73,71,4,11
19,97,62,0,5,27
28,83,61,29,6,26
35,85,95,17,5,26
27,80,88,67,6,8
28,83,78,87,6,29
43,72,21,69,4,19
19,50,58,53,5,29
44,63,36,94,7,7
21,43,46,5,4,13
31,58,8,63,5,19
44,53,33,88,6,1
30,85,45,13,7,18
35,91,17,42,7,23
33,95,65,59,5,24
16,74,10,47,4,25
23,72,41,76,6,9
35,30,63,70,5,16
33,42,8,45,7,17
43,92,29,61,7,10
26,38,84,1,6,0
18,48,54,85,5,26
19,97,74,19,7,23
20,97,91,95,7,15
19,61,16,52,4,3
18,86,98,17,4,15
27,80,1,34,6,19
20,72,19,32,6,0
21,89,77,14,6,1
32,87,5,32,7,7
28,32,57,81,5,8
27,74,76,38,7,29
29,49,43,1,4,27
41,89,79,39,7,6
24,61,69,86,6,2
15,68,54,87,7,20
36,32,19,5,4,23
15,67,97,85,7,11
44,67,66,8,6,9
23,49,82,49,4,27
18,65,72,24,4,25
27,78,57,7,5,28
43,97,49,46,5,18
41,53,77,46,7,15
31,77,34,73,6,23
41,62,42,53,4,1
16,44,33,62,4,11
29,48,84,29,6,28
32,91,57,1,6,7
33,45,26,19,6,8
33,63,66,34,7,6
31,78,53,21,6,19
29,38,62,27,6,21
29,42,56,3,5,29
17,91,24,53,7,27
36,43,94,23,6,4
19,65,62,89,5,29
40,41,96,4,7,23
44,90,42,65,5,20
43,86,86,65,5,13
25,86,47,1,4,1
35,87,89,48,5,20
29,90,40,49,5,22
43,88,66,21,5,3
31,76,48,28,5,22
24,67,88,62,6,17
22,41,23,58,4,27
17,99,17,29,7,3
30,64,98,19,6,7
18,48,71,24,5,1
32,54,8,25,5,2
24,55,52,6,4,8
26,83,13,38,6,19
23,95,9,19,4,27
32,46,13,76,5,18
32,57,47,62,6,16
22,98,45,64,7,21
27,70,9,40,6,13
22,75,80,50,6,10
28,91,46,63,4,26
21,62,99,38,7,26
27,95,50,10,5,15
33,56,42,14,7,28
23,95,9,71,5,15
35,65,58,47,5,13
43,41,50,79,4,25
28,86,2,8,6,5
32,32,21,3,7,10
44,70,70,25,6,21
35,31,53,28,6,16
39,99,17,55,5,28
43,92,65,5,7,22
17,60,48,2,4,21
29,66,23,27,6,5
16,76,79,14,7,3
24,55,81,36,6,24
22,48,1,23,5,0
19,66,23,61,6,26
19,36,78,34,5,14
30,63,15,38,6,9
28,74,20,10,6,8
26,42,64,80,7,9
39,30,28,69,5,27
27,87,26,84,7,19
24,61,49,88,6,1
42,82,1,50,5,17
36,52,66,5,4,21
37,81,7,5,4,29
17,68,49,35,5,24
41,36,80,34,6,10
16,97,93,34,4,6
30,87,12,63,6,9
19,99,22,97,7,18
44,53,25,85,5,27
23,85,83,57,7,24
42,83,70,10,7,4
42,64,14,96,7,24
21,40,82,0,6,6
40,61,34,11,6,10
44,44,90,79,4,23
36,45,51,95,7,24
17,97,74,62,6,26
25,37,11,66,7,1
35,79,17,82,5,0
29,60,6,90,6,3
24,90,26,92,5,22
39,30,69,69,5,3
16,40,67,63,4,22
31,90,41,90,7,5
18,82,74,81,5,15
37,55,53,34,6,17
29,50,60,64,7,16
19,79,34,51,4,0
33,73,71,0,4,24
38,42,18,71,4,23
24,89,40,44,7,8
21,55,82,59,6,1
35,66,78,38,5,17
44,68,77,52,6,9
19,62,74,15,4,16
33,32,5,85,4,24
38,33,11,2,5,29
22,96,25,51,4,23
31,59,17,6,6,25
39,86,92,30,4,3
43,95,5,0,6,14
24,68,91,55,4,26
41,70,95,34,4,28
39,63,75,49,4,8
35,96,80,9,7,28
24,45,95,61,7,7
37,89,20,16,5,28
18,69,73,79,5,22
43,44,17,8,5,3
20,72,47,96,7,14
19,36,14,66,5,13
23,57,74,93,7,13
21,50,48,36,4,4
36,72,62,81,7,20
17,83,31,82,4,20
16,49,8,9,4,5
40,68,93,86,7,17
21,43,49,36,5,8
34,47,24,26,6,24
37,52,27,67,4,18
15,70,68,23,7,10
16,48,49,91,4,26
24,45,55,44,5,13
44,79,50,96,7,22
38,51,46,82,4,17
31,86,88,55,6,23
42,95,64,24,4,4
24,71,11,13,5,14
37,43,67,28,5,20
17,63,75,83,4,16
39,51,15,49,5,4
15,34,32,69,5,14
23,86,87,76,5,20
15,43,64,14,6,26
16,89,13,48,7,16
22,48,21,28,7,19
23,46,19,9,5,23
44,74,82,45,7,2
17,75,77,19,7,14
26,32,88,31,7,21
41,96,93,15,4,9
37,39,37,65,5,7
42,60,36,36,7,11
21,50,89,72,4,10
28,86,26,83,7,5
22,36,30,83,7,4
27,85,78,16,6,29
19,78,76,30,7,3
23,85,18,76,6,14
27,83,63,96,5,7
27,73,6,28,7,17
34,39,1,34,4,19
15,83,12,51,7,13
21,82,46,67,5,19
34,50,64,16,7,23
42,49,9,3,4,3
32,54,26,5,5,14
33,45,7,67,5,5
39,46,52,81,6,15
41,31,39,86,7,0
23,75,56,28,7,17
15,37,88,59,5,0
40,38,94,78,7,7
22,90,97,54,5,29
28,51,86,72,4,6
28,43,11,25,4,11
44,57,49,34,5,27
41,87,53,24,6,15
23,69,67,5,4,17
35,52,67,17,6,9
37,45,36,33,5,10
40,70,10,80,7,9
39,89,61,75,5,3
15,38,62,74,7,15
20,56,57,89,5,8
34,96,96,9,6,4
24,33,54,6,4,9
37,71,53,86,7,25
19,80,97,55,6,10
40,74,75,73,6,4
29,82,44,5,5,2
42,93,3,76,5,12
17,30,15,89,4,12
24,65,9,24,5,12
30,30,68,46,7,5
39,68,8,82,7,21
24,80,8,30,6,8
44,61,9,50,6,16
34,57,19,35,7,15
39,49,34,53,5,16
43,52,5,3,5,10
27,94,63,21,6,12
42,86,48,63,4,27
44,40,8,37,7,0
20,41,86,85,4,25
36,54,84,23,6,6
22,61,9,63,4,5
42,82,17,40,4,5
22,57,19,40,6,24
33,84,48,43,5,22
36,41,27,73,4,13
25,58,89,89,6,25
21,33,50,91,5,26
25,48,93,30,5,25
28,55,72,26,7,15
39,64,48,95,4,2
35,68,46,94,6,10
34,45,20,92,4,21
18,91,94,86,6,23
40,46,47,57,4,28
43,57,44,54,7,11
40,94,28,41,5,23
35,30,7,98,5,23
22,37,78,96,6,3
28,99,96,93,4,11
43,69,15,33,4,16
22,98,73,35,4,18
31,82,27,30,6,17
19,87,20,26,4,5
40,34,73,34,4,21
30,99,67,55,4,16
42,49,44,25,6,24
35,99,43,14,4,29
36,65,69,39,5,23
26,45,74,69,5,15
22,43,42,63,7,0
24,30,36,76,7,15
26,49,89,77,6,7
33,36,25,26,5,7
36,50,83,27,6,15
18,92,60,45,7,6
30,51,13,56,4,28
25,75,59,82,6,3
26,69,34,87,5,23
15,88,47,12,4,20
22,62,27,31,6,20
23,48,75,3,4,4
40,69,9,75,6,2
44,31,82,54,5,3
25,31,23,1,5,26
42,41,64,70,4,24
32,89,91,78,7,10
22,70,53,16,6,13
30,53,33,21,7,9
32,83,43,45,6,16
19,53,18,23,4,4
33,85,1,59,4,25
32,98,7,46,5,14
34,80,56,18,5,1
39,66,8,37,4,8
36,72,9,61,7,6
16,75,44,54,7,4
16,69,9,34,6,4
40,60,66,25,6,20
22,44,80,80,5,3
44,67,17,44,4,24
32,51,24,53,5,9
32,36,35,26,6,19
35,98,97,71,4,11
15,47,31,99,4,14
23,36,63,71,6,26
43,91,29,89,6,17
25,53,37,4,6,29
22,52,86,20,6,29
23,97,49,69,4,4
32,37,75,12,5,11
23,87,21,23,4,0
28,87,32,74,6,3
40,30,63,39,6,26
17,70,72,20,4,16
19,42,18,69,7,9
30,35,2,10,5,24
41,80,3,94,6,9
29,41,17,25,4,20
22,75,89,39,6,3
33,66,83,79,6,14
23,70,57,18,5,3
33,37,31,36,7,23
43,98,91,12,5,1
22,52,89,20,7,18
31,77,83,17,6,5
33,78,55,96,4,15
37,68,87,79,5,3
29,65,50,46,4,0
39,58,31,49,6,17
27,86,21,23,5,13
27,38,12,34,5,18
44,96,4,89,5,22
35,85,32,46,6,28
41,32,10,63,4,24
34,82,36,18,6,3
15,57,0,4,4,1
33,43,60,84,4,5
19,98,6,88,6,4
32,65,51,81,5,13
26,73,52,12,5,28
41,97,55,27,6,9
28,73,45,96,4,5
27,35,35,23,4,20
37,88,17,22,7,14
36,75,35,8,6,1
40,78,12,3,7,7
40,83,19,13,5,18
43,88,53,48,6,23
33,76,57,33,5,10
20,88,97,34,5,21
32,55,78,58,4,24
17,77,77,12,7,24
33,68,92,34,4,9
31,44,20,89,7,11
16,46,23,5,4,20
38,43,53,22,6,27
35,69,74,69,6,21
19,30,57,58,6,4
38,33,25,29,5,15
24,89,83,68,6,8
43,51,28,91,7,1
35,69,52,66,6,16
22,43,98,1,5,13
43,92,53,21,4,24
16,93,22,4,6,9
41,72,32,11,7,24
43,34,19,82,4,28
43,72,88,31,5,19
18,48,46,47,4,28
29,48,20,46,4,20
21,84,61,48,5,7
34,73,32,10,7,22
21,87,8,39,6,24
15,44,50,25,7,6
16,46,84,97,4,6
22,40,49,47,4,13
23,82,65,81,4,6
19,78,8,99,6,1
16,44,73,16,7,21
37,33,18,45,6,10
24,75,30,42,5,1
40,48,79,78,7,4
43,82,82,13,4,10
19,36,60,7,5,12
37,76,7,93,7,24
40,83,2,49,4,14
16,50,15,11,7,8
25,61,77,18,6,12
18,39,1,0,6,7
43,81,77,1,4,23
29,65,72,55,6,24
39,30,56,70,4,0
30,78,21,64,6,15
16,86,68,6,5,24
37,56,25,52,5,10
17,56,53,13,6,22
35,43,40,11,4,2
34,80,81,83,7,8
38,62,62,4,4,5
39,36,90,59,7,17
44,70,22,78,4,11
36,55,19,93,4,5
16,87,85,89,4,17
36,42,97,57,4,5
44,75,13,94,5,7
39,37,11,49,7,18
40,39,76,67,6,14
18,51,68,94,7,26
39,52,23,90,7,12
32,59,33,99,5,18
21,50,48,36,4,4
36,72,62,81,7,20
17,83,31,82,4,20
16,49,8,9,4,5
40,68,93,86,7,17
21,43,49,36,5,8
34,47,24,26,6,24
37,52,27,67,4,18
15,70,68,23,7,10
16,48,49,91,4,26
24,45,55,44,5,13
44,79,50,96,7,22
38,51,46,82,4,17
31,86,88,55,6,23
42,95,64,24,4,4
24,71,11,13,5,14
37,43,67,28,5,20
17,63,75,83,4,16
39,51,15,49,5,4
15,34,32,69,5,14
23,86,87,76,5,20
15,43,64,14,6,26
16,89,13,48,7,16
22,48,21,28,7,19
23,46,19,9,5,23
44,74,82,45,7,2
17,75,77,19,7,14
26,32,88,31,7,21
41,96,93,15,4,9
37,39,37,65,5,7
42,60,36,36,7,11
21,50,89,72,4,10
28,86,26,83,7,5
22,36,30,83,7,4
27,85,78,16,6,29
19,78,76,30,7,3
23,85,18,76,6,14
27,83,63,96,5,7
27,73,6,28,7,17
34,39,1,34,4,19
15,83,12,51,7,13
21,82,46,67,5,19
34,50,64,16,7,23
42,49,9,3,4,3
32,54,26,5,5,14
33,45,7,67,5,5
39,46,52,81,6,15
41,31,39,86,7,0
23,75,56,28,7,17
15,37,88,59,5,0
40,38,94,78,7,7
22,90,97,54,5,29
28,51,86,72,4,6
28,43,11,25,4,11
44,57,49,34,5,27
41,87,53,24,6,15
23,69,67,5,4,17
35,52,67,17,6,9
37,45,36,33,5,10
40,70,10,80,7,9
39,89,61,75,5,3
15,38,62,74,7,15
20,56,57,89,5,8
34,96,96,9,6,4
24,33,54,6,4,9
37,71,53,86,7,25
19,80,97,55,6,10
40,74,75,73,6,4
29,82,44,5,5,2
42,93,3,76,5,12
17,30,15,89,4,12
24,65,9,24,5,12
30,30,68,46,7,5
39,68,8,82,7,21
24,80,8,30,6,8
44,61,9,50,6,16
34,57,19,35,7,15
39,49,34,53,5,16
43,52,5,3,5,10
27,94,63,21,6,12
42,86,48,63,4,27
44,40,8,37,7,0
20,41,86,85,4,25
36,54,84,23,6,6
22,61,9,63,4,5
42,82,17,40,4,5
22,57,19,40,6,24
33,84,48,43,5,22
36,41,27,73,4,13
25,58,89,89,6,25
21,33,50,91,5,26
25,48,93,30,5,25
28,55,72,26,7,15
39,64,48,95,4,2
35,68,46,94,6,10
34,45,20,92,4,21
18,91,94,86,6,23
40,46,47,57,4,28
43,57,44,54,7,11
40,94,28,41,5,23
35,30,7,98,5,23
22,37,78,96,6,3
28,99,96,93,4,11
43,69,15,33,4,16
22,98,73,35,4,18
31,82,27,30,6,17
19,87,20,26,4,5
40,34,73,34,4,21
30,99,67,55,4,16
42,49,44,25,6,24
35,99,43,14,4,29
36,65,69,39,5,23
26,45,74,69,5,15
22,43,42,63,7,0
24,30,36,76,7,15
26,49,89,77,6,7
33,36,25,26,5,7
36,50,83,27,6,15
18,92,60,45,7,6
30,51,13,56,4,28
25,75,59,82,6,3
26,69,34,87,5,23
15,88,47,12,4,20
22,62,27,31,6,20
23,48,75,3,4,4
40,69,9,75,6,2
44,31,82,54,5,3
25,31,23,1,5,26
42,41,64,70,4,24
32,89,91,78,7,10
22,70,53,16,6,13
30,53,33,21,7,9
32,83,43,45,6,16
19,53,18,23,4,4
33,85,1,59,4,25
32,98,7,46,5,14
34,80,56,18,5,1
39,66,8,37,4,8
36,72,9,61,7,6
16,75,44,54,7,4
16,69,9,34,6,4
40,60,66,25,6,20
22,44,80,80,5,3
44,67,17,44,4,24
32,51,24,53,5,9
32,36,35,26,6,19
35,98,97,71,4,11
15,47,31,99,4,14
23,36,63,71,6,26
43,91,29,89,6,17
25,53,37,4,6,29
22,52,86,20,6,29
23,97,49,69,4,4
32,37,75,12,5,11
23,87,21,23,4,0
28,87,32,74,6,3
40,30,63,39,6,26
17,70,72,20,4,16
19,42,18,69,7,9
30,35,2,10,5,24
41,80,3,94,6,9
29,41,17,25,4,20
22,75,89,39,6,3
33,66,83,79,6,14
23,70,57,18,5,3
33,37,31,36,7,23
43,98,91,12,5,1
22,52,89,20,7,18
31,77,83,17,6,5
33,78,55,96,4,15
37,68,87,79,5,3
29,65,50,46,4,0
39,58,31,49,6,17
27,86,21,23,5,13
27,38,12,34,5,18
44,96,4,89,5,22
35,85,32,46,6,28
41,32,10,63,4,24
34,82,36,18,6,3
15,57,0,4,4,1
33,43,60,84,4,5
19,98,6,88,6,4
32,65,51,81,5,13
26,73,52,12,5,28
41,97,55,27,6,9
28,73,45,96,4,5
27,35,35,23,4,20
37,88,17,22,7,14
36,75,35,8,6,1
40,78,12,3,7,7
40,83,19,13,5,18
43,88,53,48,6,23
33,76,57,33,5,10
20,88,97,34,5,21
32,55,78,58,4,24
17,77,77,12,7,24
33,68,92,34,4,9
31,44,20,89,7,11
16,46,23,5,4,20
38,43,53,22,6,27
35,69,74,69,6,21
19,30,57,58,6,4
38,33,25,29,5,15
24,89,83,68,6,8
43,51,28,91,7,1
35,69,52,66,6,16
22,43,98,1,5,13
43,92,53,21,4,24
16,93,22,4,6,9
41,72,32,11,7,24
43,34,19,82,4,28
43,72,88,31,5,19
18,48,46,47,4,28
29,48,20,46,4,20
21,84,61,48,5,7
34,73,32,10,7,22
21,87,8,39,6,24
15,44,50,25,7,6
16,46,84,97,4,6
22,40,49,47,4,13
23,82,65,81,4,6
19,78,8,99,6,1
16,44,73,16,7,21
37,33,18,45,6,10
20,67,59,48,6,5
35,66,40,34,4,0
37,95,0,89,6,5
40,32,55,95,7,14
31,92,99,31,4,11
30,71,8,2,7,20
20,87,19,96,4,12
26,33,32,86,4,22
32,54,12,73,6,12
22,98,41,80,5,23
32,47,27,18,5,27
32,32,41,91,7,21
25,87,14,38,4,9
28,38,21,98,4,3
32,99,33,99,5,24
42,95,45,98,6,26
28,75,28,36,6,29
38,37,77,10,4,1
38,42,92,14,5,16
20,48,96,75,5,19
26,72,88,98,6,14
35,93,90,65,5,13
30,33,39,57,4,16
28,82,95,0,7,15
39,62,62,71,4,0
43,60,64,59,7,28
44,63,21,64,5,11
41,76,48,62,5,9
36,55,45,86,5,21
25,69,12,8,7,21
32,67,22,71,7,24
16,46,66,91,4,8
42,52,68,9,6,18
39,50,4,2,6,14
37,93,46,85,6,0
27,38,6,15,7,17
19,34,59,41,4,0
39,62,28,78,4,19
40,44,86,37,6,18
24,39,67,45,7,22
28,35,46,16,6,12
34,51,50,58,7,29
26,83,19,16,5,0
24,74,57,11,5,6
30,42,99,28,5,23
21,31,32,48,6,16
35,43,78,42,5,0
16,53,90,94,7,15
29,64,67,74,7,17
24,56,98,96,6,19
15,61,62,80,7,28
