'Temperature', 'Humidity', 'Humidity of the terrain', 'Luminosity', 'Ph', 'Speed of the wind'
18,63,6,99,4,29
26,51,52,4,6,24
28,65,24,36,4,18
27,72,45,8,6,13
26,74,58,4,7,23
36,65,20,27,4,2
44,49,41,55,4,5
27,88,63,76,4,19
27,71,32,44,6,17
33,65,37,0,5,27
43,45,53,76,7,9
30,75,23,23,6,2
15,61,73,24,5,18
18,97,53,14,7,8
44,81,32,65,6,0
33,81,12,20,7,19
41,95,15,64,4,14
32,37,90,79,4,0
27,99,45,86,5,10
16,41,4,16,6,4
41,88,48,72,5,12
40,51,3,95,7,20
41,61,23,36,6,3
36,62,14,42,5,19
38,71,92,87,4,12
43,38,2,0,5,5
24,38,28,20,7,19
39,87,3,0,7,3
21,30,56,54,5,15
37,88,5,40,4,1
41,31,61,70,6,9
15,71,21,59,5,24
38,74,88,57,4,0
30,38,33,15,5,22
15,32,27,3,4,21
43,92,53,5,6,6
17,69,13,0,4,14
44,79,52,73,5,11
32,89,60,2,4,11
41,86,68,24,6,17
31,57,59,80,4,10
23,43,3,55,5,15
25,58,65,11,7,6
28,67,72,74,4,19
27,39,1,83,7,12
38,58,99,45,5,23
23,81,8,85,5,21
38,62,5,89,7,25
33,42,22,32,6,13
41,78,29,26,5,24
20,54,49,69,5,13
36,57,10,92,6,26
40,42,61,60,4,14
3292,1,,11,4,23
29,80,69,0,4,21
21,37,94,85,6,16
44,57,35,13,5,19
24,49,95,82,4,12
41,66,12,31,6,23
44,91,63,86,6,11
26,82,56,0,5,4
35,75,53,44,4,5
41,54,9,27,7,11
38,92,10,82,4,16
27,30,9,77,6,20
34,45,56,43,5,25
39,92,30,85,6,8
42,45,60,99,5,18
16,52,62,99,5,8
20,87,3,69,6,25
24,77,73,41,7,5
27,71,58,22,6,19
32,95,98,41,5,10
39,95,97,59,7,22
15,39,36,64,5,27
38,90,51,26,6,8
31,80,75,97,4,26
33,99,27,20,6,22
41,35,70,79,4,18
24,71,32,38,4,27
19,78,79,30,5,4
24,63,64,25,4,24
28,37,25,73,4,19
16,58,34,14,4,12
41,83,80,98,4,28
32,87,27,80,6,0
41,77,4,70,5,24
33,62,57,18,6,5
34,43,27,15,4,3
18,89,27,95,5,8
18,91,8,96,6,25
21,57,85,70,6,3
32,40,88,42,4,9
32,30,9,21,4,14
39,77,87,87,7,27
26,33,5,97,6,11
21,32,31,3,5,5
31,60,35,70,5,27
27,56,13,1,6,25
30,97,58,6,4,27
41,67,0,27,7,29
43,60,66,10,4,20
30,47,67,76,6,7
17,57,47,47,5,2
18,78,87,60,7,21
19,66,25,19,7,26
15,96,98,22,6,24
31,89,23,44,7,12
29,97,93,39,4,23
16,47,37,91,6,25
43,51,7,48,4,2
25,89,15,33,7,1
17,97,31,81,4,4
16,76,26,46,4,10
18,76,17,17,4,12
17,74,0,71,6,23
28,47,45,49,4,8
19,63,94,41,7,20
26,68,92,91,4,28
28,97,67,18,5,6
26,77,34,65,6,17
37,89,6,48,4,23
33,98,86,16,7,14
43,39,83,77,5,12
38,37,26,86,5,27
28,42,76,56,4,15
24,77,60,60,5,8
37,84,15,10,4,0
43,77,60,96,7,10
24,34,30,59,4,27
40,98,11,89,7,20
26,56,92,51,4,2
28,72,37,37,7,5
34,49,54,37,7,27
32,55,1,13,6,4
40,42,44,48,5,24
17,62,78,13,4,25
38,31,28,53,7,0
19,46,10,40,5,21
31,57,93,17,7,2
15,88,34,63,6,27
15,37,88,1,4,11
19,49,43,41,7,20
23,92,13,77,6,26
37,71,63,72,5,10
31,80,59,84,7,26
30,76,96,14,5,20
20,94,86,86,6,24
24,97,52,31,5,17
43,50,54,8,7,17
41,83,19,93,5,4
36,71,41,10,7,24
44,51,43,1,7,26
37,73,45,92,4,20
44,85,98,72,5,5
38,35,66,34,7,22
41,77,23,10,4,11
39,53,83,20,5,12
33,91,93,95,7,22
43,85,13,24,5,2
34,71,4,17,7,3
16,66,17,74,7,18
19,34,35,66,7,11
37,68,45,44,5,6
40,94,50,10,5,20
26,88,3,76,5,17
26,43,71,32,4,25
22,82,0,58,7,10
31,97,13,3,5,20
44,35,63,47,7,25
15,59,52,94,7,22
15,72,64,0,6,0
27,53,40,94,6,3
39,76,23,93,6,5
37,35,93,82,5,8
16,85,49,24,5,22
27,30,26,48,5,5
44,66,30,15,6,28
36,92,33,49,4,6
30,34,70,38,5,16
16,81,67,17,4,19
32,79,2,33,6,7
15,87,96,30,6,15
44,92,80,0,4,3
40,71,68,13,7,25
35,54,73,80,7,1
38,61,48,0,5,28
19,78,75,72,6,28
27,74,62,38,7,1
16,42,12,26,5,3
20,59,54,79,7,20
43,58,70,40,7,26
19,41,62,82,7,9
17,74,86,53,5,29
44,35,80,37,4,16
20,64,24,28,4,20
24,38,46,44,4,24
43,87,28,10,6,11
35,60,71,16,7,23
31,31,23,51,6,12
30,67,22,31,7,21
22,56,6,93,4,18
31,33,26,95,7,29
15,48,54,0,6,27
32,72,9,96,7,22
35,49,55,55,5,29
28,88,64,36,7,8
31,80,57,7,5,24
44,99,15,14,5,19
36,81,8,58,5,7
42,74,76,10,6,20
26,65,63,64,7,24
40,43,98,94,4,0
18,34,31,13,7,0
36,45,95,30,4,25
17,85,2,53,5,12
36,93,91,41,4,23
39,76,95,91,4,27
32,76,85,37,4,21
29,85,81,44,4,13
21,61,35,33,4,16
19,67,89,95,5,5
21,68,82,9,7,14
41,83,21,81,5,3
38,41,71,59,5,23
33,95,90,8,7,13
15,92,72,5,5,22
41,66,22,60,6,5
18,36,24,41,4,24
31,88,38,86,7,14
32,90,58,3,4,7
37,36,89,93,6,20
44,76,12,74,6,21
21,66,37,73,7,16
40,30,79,82,6,0
26,50,57,48,7,22
27,60,1,43,4,3
42,98,41,23,4,8
32,75,76,46,7,2
41,69,74,24,7,0
17,89,54,60,6,29
15,40,95,42,6,28
39,94,16,6,5,11
44,66,42,4,7,4
27,74,9,16,6,25
20,42,43,69,6,18
15,31,0,77,7,20
27,71,98,84,6,19
33,85,13,23,5,25
15,99,50,62,7,17
35,44,78,57,7,23
36,62,14,41,5,29
17,82,24,73,7,0
25,72,16,21,6,24
40,48,25,3,4,22
35,71,5,84,6,1
30,84,47,71,6,6
24,96,72,79,6,18
40,38,68,33,5,25
43,79,73,10,6,2
29,84,40,25,5,19
24,67,50,4,6,22
19,70,50,30,4,7
43,94,80,37,5,20
33,82,74,66,7,7
37,56,33,78,4,26
39,38,11,1,7,24
38,97,13,61,7,14
31,58,60,40,5,22
34,36,57,40,6,8
26,65,98,38,7,27
22,56,52,1,7,0
23,66,83,3,5,6
43,47,39,70,5,19
42,83,29,76,4,21
20,59,85,22,6,15
36,47,14,88,4,22
24,61,52,59,6,4
29,63,40,63,7,6
15,49,24,39,6,8
18,97,20,13,4,7
15,82,63,58,7,27
38,58,4,42,6,17
23,34,4,5,5,18
17,95,23,0,7,27
44,98,55,4,6,17
43,57,88,73,7,5
16,97,77,99,7,23
38,82,75,58,6,1
42,87,42,45,6,25
24,40,17,78,5,1
35,45,74,59,4,19
22,67,2,90,6,15
44,42,84,0,4,24
22,49,15,47,6,4
24,55,66,34,5,13
33,86,50,36,6,29
21,61,77,49,4,0
26,80,68,51,6,24
27,69,18,0,5,22
18,58,8,28,6,15
18,32,52,8,6,11
22,73,83,55,4,29
40,98,78,18,7,23
36,81,41,85,7,11
42,99,78,42,5,10
32,35,52,68,5,24
23,37,31,61,4,25
26,43,61,71,4,9
31,84,27,75,5,0
21,87,29,53,7,0
27,34,43,20,5,11
21,92,68,12,6,11
38,39,24,36,5,23
28,59,28,93,4,19
22,97,18,63,6,6
16,98,79,26,7,8
36,90,57,21,4,16
27,45,26,97,4,17
37,56,5,57,7,1
22,46,17,82,4,19
25,46,97,14,5,23
25,33,1,41,4,9
33,56,27,84,6,26
25,40,56,45,5,14
16,94,97,99,4,14
27,53,29,55,7,15
34,46,81,41,7,9
36,34,94,87,5,27
24,89,26,99,5,26
31,92,3,51,6,17
26,56,12,12,4,4
40,47,55,21,6,24
38,90,21,93,7,4
38,54,24,88,5,14
19,33,73,28,6,15
22,69,0,85,7,19
36,35,50,96,5,14
18,82,67,84,4,4
28,60,63,19,6,26
42,83,36,2,4,14
35,31,51,48,4,20
32,89,46,93,6,25
30,58,78,52,7,18
32,50,36,5,5,1
42,97,80,34,6,1
24,70,30,9,7,27
36,50,87,71,7,1
36,40,55,4,5,12
17,62,98,25,5,5
43,60,16,55,5,8
15,92,23,4,5,6
29,32,39,36,7,26
15,59,79,30,7,19
34,93,19,43,4,25
39,84,10,65,7,18
22,91,75,69,6,7
34,40,81,1,5,7
26,90,90,40,5,6
18,62,8,5,6,10
27,74,20,18,6,19
36,52,63,17,6,26
43,71,81,35,6,29
36,85,86,22,6,9
42,71,64,97,6,25
33,86,6,89,5,0
22,38,12,77,5,29
25,55,33,60,5,2
26,47,50,27,4,17
41,61,57,82,4,13
30,50,68,17,4,13
34,39,98,86,7,0
38,43,91,29,6,5
19,91,73,18,5,26
31,42,77,32,4,20
36,99,10,13,5,19
24,67,71,10,5,8
41,31,91,64,7,14
25,46,65,32,5,10
36,69,90,23,5,12
31,74,52,2,6,18
43,90,73,37,5,29
21,71,50,96,4,28
22,63,90,55,5,12
37,96,15,13,6,28
37,32,77,62,6,16
30,46,93,98,7,3
17,89,84,27,5,11
29,46,69,29,5,16
35,48,66,25,5,7
35,38,91,76,6,28
15,97,25,89,6,14
29,78,53,65,6,3
30,69,19,99,5,3
31,95,88,18,7,29
35,74,40,36,5,28
24,72,93,37,7,28
39,98,42,93,5,8
22,53,0,37,7,1
30,33,62,73,7,17
23,40,30,62,5,23
27,75,21,16,7,9
17,55,92,91,6,13
27,84,50,46,4,14
35,49,29,77,4,12
31,46,60,54,5,4
39,49,95,52,6,25
23,57,3,63,5,23
40,51,89,67,4,0
32,75,48,8,5,0
27,63,85,95,5,24
33,79,14,19,6,18
34,32,59,60,4,5
37,97,34,61,5,11
31,61,17,21,6,17
43,43,17,14,6,23
17,33,22,63,5,16
33,50,43,98,5,14
32,46,28,56,6,21
33,36,23,12,7,27
22,70,12,91,7,11
22,78,11,86,4,1
27,76,62,83,4,0
35,34,57,36,7,11
36,89,12,63,5,16
25,37,40,84,4,24
29,36,69,91,5,4
40,43,25,82,4,15
30,65,91,26,7,12
40,55,58,30,6,26
19,33,96,79,7,17
18,76,25,52,7,27
37,41,37,48,4,17
28,97,76,4,5,6
41,57,43,71,5,15
21,37,27,35,5,2
44,34,21,12,6,4
44,73,15,20,7,13
33,51,39,42,6,7
17,91,16,14,5,20
44,75,82,7,4,0
15,99,61,50,6,15
31,34,38,45,7,8
22,87,78,82,5,16
28,50,89,44,4,5
26,41,48,37,4,24
20,79,60,31,7,0
43,93,7,78,5,4
36,81,38,39,7,24
16,39,17,61,7,11
25,77,39,57,5,13
34,50,11,65,4,23
35,62,49,5,5,0
34,65,28,17,6,22
16,35,28,7,7,29
39,59,98,61,4,20
44,44,62,27,7,10
15,65,95,27,7,8
19,50,54,6,5,29
21,71,49,30,4,20
16,75,14,66,5,0
19,76,81,55,7,0
28,52,44,99,4,7
33,92,98,48,6,29
28,98,99,70,5,5
24,61,77,25,4,3
22,34,22,31,4,18
15,61,79,81,4,7
29,50,78,17,4,23
29,55,1,6,6,4
37,84,72,29,5,25
34,92,64,9,5,3
36,65,85,73,5,26
32,47,29,75,4,15
26,79,48,92,7,25
42,38,88,4,7,0
28,78,38,28,4,6
32,90,72,85,5,19
22,82,57,91,4,19
27,45,73,47,6,18
42,56,85,36,4,29
18,81,26,87,6,27
17,95,94,47,7,12
35,92,91,25,6,28
19,48,56,2,4,3
36,31,53,89,5,5
36,61,72,82,7,26
22,58,96,26,6,27
40,97,17,24,7,15
38,88,78,44,4,19
21,58,69,80,4,29
19,43,37,90,7,7
30,59,57,31,5,21
32,53,39,40,6,24
28,47,83,60,5,2
35,39,84,9,6,8
31,69,5,47,4,20
29,62,6,36,7,22
18,59,86,85,5,4
39,56,45,10,6,6
32,67,29,57,7,3
44,50,26,75,7,8
39,83,71,45,7,26
33,74,77,66,5,27
21,50,0,35,5,24
41,59,61,58,5,21
32,30,8,98,6,5
31,94,96,9,4,0
38,57,69,26,7,22
20,63,55,48,5,10
32,86,13,35,4,24
41,81,70,85,4,29
27,93,87,42,7,6
42,51,20,1,6,15
28,97,58,56,4,0
24,51,32,12,7,27
31,36,10,7,6,12
19,40,76,28,4,26
43,39,60,63,4,10
38,56,15,78,7,21
35,81,93,82,5,3
25,30,0,97,4,14
25,46,97,12,5,10
25,45,38,39,7,4
22,42,46,37,6,22
25,69,5,96,7,11
31,89,71,7,7,29
21,90,90,84,4,11
22,55,48,90,5,9
22,83,27,30,6,9
17,46,75,59,6,8
20,78,43,46,5,1
30,70,76,76,7,0
34,51,29,3,7,24
20,83,76,3,5,5
16,70,7,6,7,13
30,44,61,44,7,23
23,99,97,76,6,16
35,49,86,83,6,13
31,53,79,71,6,0
16,42,39,88,4,29
37,45,67,94,5,9
17,95,77,7,4,22
27,36,50,63,4,8
22,69,40,16,4,26
34,82,19,12,7,5
41,48,82,54,4,16
19,69,1,32,4,0
36,37,15,82,6,28
29,72,30,8,5,24
39,83,78,62,5,13
24,74,82,60,6,6
36,82,75,53,5,6
40,87,5,0,6,8
26,40,74,91,5,27
44,69,3,53,5,21
21,80,45,91,6,1
29,81,5,71,6,5
24,50,43,92,5,18
40,70,87,30,4,5
28,69,77,26,7,7
26,33,62,37,7,10
20,59,51,34,6,9
34,47,42,34,5,26
37,99,94,38,7,17
36,69,85,22,5,19
30,38,9,12,5,12
38,81,55,3,5,6
44,70,95,97,4,26
15,34,31,68,7,26
28,73,87,40,7,14
29,90,78,49,6,13
40,86,34,83,4,15
22,99,54,44,5,13
37,45,98,88,7,22
36,80,39,17,4,6
22,78,17,71,4,28
27,90,76,42,5,12
39,65,25,83,5,13
44,66,26,5,4,25
20,54,18,83,4,28
34,70,84,19,4,11
22,96,63,7,4,19
28,52,98,30,6,18
39,38,4,34,6,21
33,65,97,35,6,26
29,75,0,72,7,5
42,90,31,48,4,22
41,75,21,37,7,18
36,74,44,28,4,20
31,63,4,52,7,3
34,41,32,21,7,1
20,73,5,89,7,29
31,70,35,89,5,20
29,87,14,4,7,10
40,38,99,33,7,25
39,65,68,54,7,15
34,99,48,85,5,29
23,86,62,0,5,22
36,45,30,35,4,29
19,31,23,15,7,2
37,64,79,69,7,16
29,97,28,69,7,28
40,70,30,82,4,19
15,82,2,37,5,6
23,83,76,34,4,1
21,84,7,0,6,20
33,71,8,61,4,8
16,90,81,0,4,21
30,70,57,6,7,14
44,47,4,89,7,3
38,78,35,47,6,24
15,59,67,64,4,2
44,39,86,55,7,24
32,54,43,7,6,6
34,92,7,23,7,19
39,84,82,81,7,27
15,78,56,98,4,12
17,37,6,75,4,15
31,65,19,37,4,10
39,53,23,46,5,11
42,56,80,28,6,5
25,94,30,24,5,29
16,40,89,7,6,10
36,81,26,47,5,2
36,70,19,18,5,17
35,33,36,50,4,5
39,55,92,31,7,21
35,30,43,73,7,17
33,71,76,19,5,23
36,48,40,88,5,19
31,58,97,97,4,22
39,92,64,16,7,18
16,35,41,35,4,9
19,75,69,10,4,2
25,53,30,87,7,20
23,61,32,9,7,19
29,47,79,4,7,1
19,99,46,17,7,24
44,70,76,90,7,11
18,31,17,57,6,17
28,46,83,1,5,12
38,89,36,75,7,23
44,50,81,74,6,25
39,86,33,12,6,7
44,43,86,86,6,25
20,57,20,57,5,0
21,96,50,23,6,10
32,35,70,16,7,18
30,95,82,36,7,23
26,45,58,82,6,21
41,42,15,38,6,7
41,97,12,65,6,4
19,40,3,16,4,28
35,33,88,81,4,3
44,72,16,18,5,0
36,98,36,97,6,2
20,96,39,60,6,25
18,58,12,58,7,0
25,47,53,87,6,10
20,45,1,59,6,2
22,65,43,93,5,22
43,47,51,11,4,25
29,77,41,28,5,23
30,42,48,58,4,23
44,82,46,87,6,23
40,76,93,21,6,7
19,35,68,60,5,18
17,87,14,3,7,29
20,93,25,37,5,10
24,41,80,43,4,29
24,39,83,60,4,21
41,77,2,14,4,11
44,57,61,91,5,15
15,81,52,77,5,10
16,50,7,79,4,16
41,54,58,97,6,15
32,98,21,17,5,26
42,75,90,30,7,17
29,31,9,19,6,6
31,50,35,74,4,23
17,94,57,33,7,9
38,58,51,52,6,0
20,68,6,79,4,29
31,61,29,22,6,21
43,92,79,32,4,7
21,43,90,24,4,4
34,99,8,71,4,23
27,87,86,79,6,20
41,30,92,94,7,8
44,83,52,6,4,15
25,98,42,31,6,8
23,53,46,53,7,26
16,74,59,54,7,15
25,57,10,99,4,11
35,44,24,22,5,23
42,99,95,39,7,21
27,85,64,48,4,3
40,72,94,38,6,27
24,79,54,1,6,8
28,80,91,36,6,17
34,98,13,79,5,22
18,63,6,99,4,29
26,51,52,4,6,24
28,65,24,36,4,18
27,72,45,8,6,13
26,74,58,4,7,23
36,65,20,27,4,2
44,49,41,55,4,5
27,88,63,76,4,19
27,71,32,44,6,17
33,65,37,0,5,27
43,45,53,76,7,9
30,75,23,23,6,2
15,61,73,24,5,18
18,97,53,14,7,8
44,81,32,65,6,0
33,81,12,20,7,19
41,95,15,64,4,14
32,37,90,79,4,0
27,99,45,86,5,10
16,41,4,16,6,4
41,88,48,72,5,12
40,51,3,95,7,20
41,61,23,36,6,3
36,62,14,42,5,19
38,71,92,87,4,12
43,38,2,0,5,5
24,38,28,20,7,19
39,87,3,0,7,3
21,30,56,54,5,15
37,88,5,40,4,1
41,31,61,70,6,9
15,71,21,59,5,24
38,74,88,57,4,0
30,38,33,15,5,22
15,32,27,3,4,21
43,92,53,5,6,6
17,69,13,0,4,14
44,79,52,73,5,11
32,89,60,2,4,11
41,86,68,24,6,17
31,57,59,80,4,10
23,43,3,55,5,15
25,58,65,11,7,6
28,67,72,74,4,19
27,39,1,83,7,12
38,58,99,45,5,23
23,81,8,85,5,21
38,62,5,89,7,25
33,42,22,32,6,13
41,78,29,26,5,24
20,54,49,69,5,13
36,57,10,92,6,26
40,42,61,60,4,14
3292,1,,11,4,23
29,80,69,0,4,21
21,37,94,85,6,16
44,57,35,13,5,19
24,49,95,82,4,12
41,66,12,31,6,23
44,91,63,86,6,11
26,82,56,0,5,4
35,75,53,44,4,5
41,54,9,27,7,11
38,92,10,82,4,16
27,30,9,77,6,20
34,45,56,43,5,25
39,92,30,85,6,8
42,45,60,99,5,18
16,52,62,99,5,8
20,87,3,69,6,25
24,77,73,41,7,5
27,71,58,22,6,19
32,95,98,41,5,10
39,95,97,59,7,22
15,39,36,64,5,27
38,90,51,26,6,8
31,80,75,97,4,26
33,99,27,20,6,22
41,35,70,79,4,18
24,71,32,38,4,27
19,78,79,30,5,4
24,63,64,25,4,24
28,37,25,73,4,19
16,58,34,14,4,12
41,83,80,98,4,28
32,87,27,80,6,0
41,77,4,70,5,24
33,62,57,18,6,5
34,43,27,15,4,3
18,89,27,95,5,8
18,91,8,96,6,25
21,57,85,70,6,3
32,40,88,42,4,9
32,30,9,21,4,14
39,77,87,87,7,27
26,33,5,97,6,11
21,32,31,3,5,5
31,60,35,70,5,27
27,56,13,1,6,25
30,97,58,6,4,27
41,67,0,27,7,29
43,60,66,10,4,20
30,47,67,76,6,7
17,57,47,47,5,2
18,78,87,60,7,21
19,66,25,19,7,26
15,96,98,22,6,24
31,89,23,44,7,12
29,97,93,39,4,23
16,47,37,91,6,25
43,51,7,48,4,2
25,89,15,33,7,1
17,97,31,81,4,4
16,76,26,46,4,10
18,76,17,17,4,12
17,74,0,71,6,23
28,47,45,49,4,8
19,63,94,41,7,20
26,68,92,91,4,28
28,97,67,18,5,6
26,77,34,65,6,17
37,89,6,48,4,23
33,98,86,16,7,14
43,39,83,77,5,12
38,37,26,86,5,27
28,42,76,56,4,15
24,77,60,60,5,8
37,84,15,10,4,0
43,77,60,96,7,10
24,34,30,59,4,27
40,98,11,89,7,20
26,56,92,51,4,2
28,72,37,37,7,5
34,49,54,37,7,27
32,55,1,13,6,4
40,42,44,48,5,24
17,62,78,13,4,25
38,31,28,53,7,0
19,46,10,40,5,21
31,57,93,17,7,2
15,88,34,63,6,27
15,37,88,1,4,11
19,49,43,41,7,20
23,92,13,77,6,26
37,71,63,72,5,10
31,80,59,84,7,26
30,76,96,14,5,20
20,94,86,86,6,24
24,97,52,31,5,17
43,50,54,8,7,17
41,83,19,93,5,4
36,71,41,10,7,24
44,51,43,1,7,26
37,73,45,92,4,20
44,85,98,72,5,5
38,35,66,34,7,22
41,77,23,10,4,11
39,53,83,20,5,12
33,91,93,95,7,22
43,85,13,24,5,2
34,71,4,17,7,3
16,66,17,74,7,18
19,34,35,66,7,11
37,68,45,44,5,6
40,94,50,10,5,20
26,88,3,76,5,17
26,43,71,32,4,25
22,82,0,58,7,10
31,97,13,3,5,20
44,35,63,47,7,25
15,59,52,94,7,22
15,72,64,0,6,0
27,53,40,94,6,3
39,76,23,93,6,5
37,35,93,82,5,8
16,85,49,24,5,22
27,30,26,48,5,5
44,66,30,15,6,28
36,92,33,49,4,6
30,34,70,38,5,16
16,81,67,17,4,19
32,79,2,33,6,7
15,87,96,30,6,15
