'Temperature', 'Humidity', 'Humidity of the terrain', 'Luminosity', 'Ph', 'Speed of the wind'
18,61,38,99,5,8
15,92,3,47,4,0
30,90,90,92,7,26
33,92,64,10,6,22
23,43,72,71,7,6
34,93,95,85,7,4
18,36,10,56,5,29
22,87,28,23,7,12
32,78,23,63,4,23
27,70,68,65,6,0
24,35,22,99,6,10
24,99,55,32,5,2
15,33,47,84,4,19
15,71,64,50,6,18
40,42,44,14,5,16
32,60,68,87,6,18
37,81,75,32,6,4
30,99,16,21,5,15
25,93,12,18,7,27
35,66,9,1,6,11
30,61,45,95,7,15
27,97,31,38,5,15
43,48,76,24,4,24
30,68,85,65,7,5
15,47,18,96,6,7
32,37,16,67,5,26
34,46,45,46,5,4
22,84,97,28,5,29
41,47,51,53,6,0
38,82,12,82,4,13
19,95,74,50,6,9
33,87,82,74,7,19
40,80,4,56,7,16
37,59,44,8,7,20
20,34,45,49,7,14
44,71,58,83,6,20
25,35,65,43,4,10
31,56,47,48,4,27
19,87,79,39,6,13
40,37,25,29,6,26
30,70,94,69,4,25
22,62,16,36,6,4
27,57,77,47,7,16
22,85,30,31,7,6
23,39,11,49,5,20
27,95,96,71,6,29
40,76,52,88,7,26
24,45,53,32,5,11
30,76,30,61,7,14
23,81,96,30,4,8
16,52,26,54,4,6
24,63,27,78,4,22
29,78,34,41,4,22
33,74,37,4,5,16
17,68,32,63,6,15
25,86,53,88,4,24
24,84,49,87,4,12
35,54,38,97,7,24
22,37,77,0,6,13
24,43,87,89,4,3
27,72,34,6,6,25
40,83,30,58,5,29
27,33,91,54,7,19
35,87,82,15,4,28
38,75,69,45,7,6
15,91,65,17,5,12
41,57,46,69,7,14
36,49,77,49,7,23
42,93,94,10,4,1
18,91,27,35,4,24
18,73,75,32,7,26
31,80,41,94,7,20
16,62,62,42,6,24
20,51,16,71,6,4
17,58,7,32,6,20
26,89,87,37,5,28
44,73,49,63,7,25
31,95,42,66,5,1
20,88,69,50,5,3
36,35,1,22,4,1
17,52,21,63,4,28
32,97,74,87,4,11
15,50,77,20,5,8
18,83,23,14,7,16
35,47,20,51,4,12
23,90,52,97,5,25
36,45,20,52,5,18
44,54,34,82,7,25
39,51,98,14,6,16
43,88,74,30,7,9
19,75,9,16,7,17
22,42,82,50,6,18
37,66,34,44,4,6
41,49,50,23,7,0
35,65,85,69,5,14
27,85,4,27,4,3
24,94,3,5,4,20
44,97,84,56,4,29
16,90,83,11,5,27
41,74,74,44,4,8
39,67,90,59,6,20
27,66,57,78,5,4
15,54,54,54,6,19
21,66,29,56,4,21
37,55,36,93,7,3
38,79,0,72,7,29
40,40,52,25,4,23
34,96,3,34,7,9
40,38,66,19,6,20
20,61,32,36,7,9
41,91,9,75,5,21
37,55,87,86,4,16
21,55,60,45,6,9
23,51,24,18,7,13
43,49,83,74,6,6
32,66,93,57,5,9
19,33,11,99,5,15
26,61,66,16,5,14
26,85,38,78,4,28
19,83,50,20,5,6
23,92,70,49,5,13
31,39,49,21,7,27
25,67,37,46,6,25
16,56,43,90,5,21
44,96,98,30,6,29
35,31,36,83,7,14
43,99,29,65,7,19
18,45,6,34,6,11
37,43,6,77,7,23
30,72,47,88,6,24
18,89,77,99,5,17
15,46,80,44,7,25
26,67,47,95,5,17
41,49,91,18,5,25
28,34,89,6,5,3
32,36,20,92,7,23
16,40,9,49,4,26
36,48,57,25,4,27
22,42,88,82,4,16
41,46,38,26,4,16
42,80,14,50,5,22
33,90,74,98,5,23
27,71,49,1,7,22
35,86,88,16,4,4
35,78,65,16,5,14
36,79,31,60,7,6
39,79,69,69,5,18
15,44,82,88,6,21
32,74,5,85,5,0
17,38,60,18,6,12
40,84,52,7,7,27
41,73,56,28,5,24
43,92,77,80,6,25
41,94,69,90,4,14
17,55,58,44,4,24
28,55,66,80,4,24
34,74,74,48,5,18
22,30,14,74,6,13
29,92,82,17,6,6
17,30,66,13,5,2
37,76,85,77,7,3
28,95,38,73,4,22
36,72,85,53,7,23
15,30,1,23,4,3
39,58,25,8,7,0
27,46,57,50,7,2
31,96,85,42,4,27
42,90,4,82,5,15
40,86,73,74,4,4
17,80,5,83,4,6
29,86,2,81,7,23
28,38,80,39,6,23
18,82,20,28,6,12
29,53,72,73,7,12
24,51,31,41,6,3
34,89,74,75,7,24
27,34,83,96,5,1
24,44,84,14,6,6
42,30,39,78,7,11
22,34,56,1,5,9
26,77,99,57,7,23
17,41,16,46,5,9
44,70,26,96,5,8
36,58,8,29,4,5
31,42,49,77,7,12
38,42,11,67,7,21
27,80,24,74,7,28
44,88,39,3,7,2
30,44,96,56,7,14
28,30,56,28,7,9
19,98,43,2,5,15
40,73,45,63,4,12
26,46,11,44,4,26
25,69,46,69,7,11
19,31,89,34,4,18
35,92,25,9,4,4
18,57,23,49,5,26
15,34,63,9,7,11
18,39,65,62,7,15
21,66,22,5,5,28
19,64,75,22,4,22
17,37,2,14,5,6
28,89,14,12,7,16
43,57,89,47,4,0
25,35,92,94,7,21
43,88,85,64,6,8
29,33,57,18,5,2
29,85,12,35,5,22
24,50,1,88,7,25
34,57,7,49,5,18
21,35,47,46,7,26
44,88,56,76,4,9
44,70,86,79,7,3
24,45,57,84,5,20
27,68,86,41,7,2
22,82,75,26,7,20
27,40,16,83,7,14
22,31,43,68,5,7
25,84,50,28,4,13
33,98,69,84,7,5
20,90,24,87,5,22
17,36,18,82,6,11
20,38,14,37,6,20
28,81,8,76,7,27
40,32,83,43,5,3
40,71,95,77,5,21
32,54,30,12,4,7
44,64,27,43,7,17
36,78,30,74,5,14
19,85,14,14,4,1
33,87,75,58,7,1
27,47,70,88,7,12
16,88,36,61,7,16
25,87,69,11,5,1
33,60,91,65,6,0
17,87,34,48,5,28
17,97,77,30,4,13
41,68,27,57,6,17
17,34,94,52,7,12
44,90,2,11,4,20
39,98,88,53,5,28
42,99,99,17,7,26
24,47,68,98,7,0
26,48,29,56,7,8
29,68,83,76,5,11
25,62,41,13,5,25
15,57,27,54,6,17
22,68,86,0,5,8
35,47,96,78,6,11
24,40,29,8,6,5
29,65,8,80,4,15
29,82,65,27,7,9
42,61,90,26,4,16
37,75,98,47,7,17
29,83,65,44,4,14
23,70,90,15,7,16
16,95,43,89,6,12
23,64,3,78,5,19
34,77,84,19,7,3
17,59,13,6,5,11
25,74,51,86,5,29
36,55,42,70,5,7
38,91,43,84,4,28
24,74,79,35,6,16
40,69,16,18,5,29
22,71,62,62,6,26
25,70,2,25,6,29
24,79,68,20,5,3
40,96,68,15,5,13
43,49,51,90,6,20
21,37,33,56,6,1
43,49,2,23,6,3
38,66,29,15,5,7
23,64,57,69,5,11
29,62,30,10,6,8
37,82,83,54,5,10
27,78,75,3,7,13
27,95,10,37,4,12
18,73,18,21,7,5
43,55,1,15,5,9
29,69,7,69,7,22
35,39,22,71,5,20
36,79,66,2,7,4
28,55,64,92,6,20
22,68,71,33,4,13
36,71,79,39,7,3
39,47,67,86,5,15
19,77,89,24,5,28
42,83,47,69,5,11
37,50,93,59,4,20
37,79,76,34,7,12
24,88,61,39,5,6
28,73,48,92,4,0
43,60,56,98,5,6
40,94,43,60,4,7
35,81,19,99,6,13
36,84,63,87,4,9
42,95,5,34,4,18
15,49,13,28,7,15
27,48,59,22,4,24
37,47,63,4,4,20
16,81,27,63,7,17
43,49,55,81,7,9
22,99,25,93,6,0
19,68,86,51,5,18
33,62,71,50,5,29
27,61,16,30,7,18
17,47,62,14,7,17
40,64,98,34,7,24
33,87,27,54,7,14
17,88,73,50,6,12
18,72,26,5,7,14
41,86,45,77,4,19
29,63,97,33,5,28
17,37,96,82,5,3
16,72,35,61,4,12
24,60,3,39,6,18
19,89,59,29,4,27
37,67,26,52,4,20
31,57,2,16,5,21
29,58,76,46,7,13
33,34,49,20,6,9
43,81,34,64,5,26
15,57,73,48,5,29
33,83,97,22,6,21
27,96,53,35,4,9
37,62,87,60,5,24
44,83,66,93,6,18
23,71,42,96,4,22
17,56,11,21,6,16
34,70,15,8,4,15
16,59,97,93,5,2
17,96,43,38,6,1
22,35,48,34,4,16
23,49,13,16,6,4
27,62,28,64,6,27
21,56,83,51,7,27
25,57,26,53,6,16
16,32,18,86,5,26
39,43,52,18,4,25
34,65,76,10,7,0
33,70,43,9,7,2
24,62,29,51,6,23
29,43,98,95,7,11
18,42,22,83,7,0
17,52,99,35,6,20
17,79,26,37,6,19
29,56,75,35,5,16
37,46,58,20,7,2
19,57,54,46,6,19
30,68,77,38,6,23
34,59,69,19,6,10
39,69,20,27,7,8
28,43,34,56,5,4
23,39,74,93,5,26
33,74,57,52,4,29
36,75,33,70,4,1
36,43,11,64,7,21
37,67,10,35,4,16
27,33,61,68,7,17
33,36,61,99,5,25
40,60,39,35,4,1
23,91,92,53,4,2
32,76,1,79,5,6
39,69,82,57,5,1
16,50,70,1,7,7
25,95,64,14,6,15
18,40,41,4,4,28
42,34,46,70,7,3
34,36,22,65,4,3
31,54,17,81,6,7
34,94,36,50,7,17
42,50,29,15,5,3
23,33,13,62,6,3
38,45,70,40,5,0
16,73,68,45,4,22
28,40,23,61,7,12
29,81,75,84,4,6
30,65,2,6,4,20
17,57,98,29,6,0
42,61,70,59,5,27
29,35,19,49,7,24
22,99,57,2,5,17
43,71,75,67,5,15
25,67,77,55,6,3
16,79,61,43,4,1
35,68,19,93,7,1
40,64,35,21,4,26
36,34,20,54,7,23
42,43,57,32,6,26
34,38,28,15,5,5
24,70,50,80,5,27
25,60,74,86,7,18
42,78,75,17,4,20
25,70,97,30,4,14
44,88,78,1,7,22
41,80,68,20,7,22
30,64,34,97,4,0
37,87,77,76,6,1
36,73,73,10,6,16
29,72,94,87,5,6
20,92,94,88,6,4
22,52,70,32,7,23
26,61,56,49,4,21
31,45,51,16,7,16
41,38,36,22,6,16
37,63,52,95,4,15
40,80,44,14,4,11
21,58,18,90,5,13
36,88,64,20,4,17
20,85,86,93,7,19
21,67,7,9,7,18
16,44,25,59,4,0
23,33,35,42,5,0
36,50,94,71,6,15
42,33,87,5,4,0
34,49,48,68,5,23
43,83,84,84,7,8
44,92,45,21,6,19
18,69,20,59,6,25
39,70,87,63,6,26
28,57,46,70,4,21
25,97,75,6,5,11
25,69,13,13,5,14
21,84,16,54,7,15
36,89,86,88,7,20
32,33,61,57,5,23
18,79,45,35,4,3
17,95,38,24,4,25
30,59,29,94,4,28
17,31,52,71,7,1
44,41,20,77,4,4
34,94,37,78,7,4
24,89,79,22,5,6
40,35,45,39,7,11
23,79,85,97,4,13
31,86,51,74,6,17
22,57,18,6,6,12
25,30,97,49,7,14
38,83,51,57,7,8
23,89,76,20,4,22
37,72,21,91,5,18
21,39,21,91,6,14
20,60,72,99,4,18
21,65,88,4,5,5
20,71,40,48,4,18
18,35,45,64,5,5
16,56,29,90,4,27
34,90,79,23,5,4
25,65,7,10,6,0
25,45,21,84,4,25
22,54,46,24,5,14
31,93,32,33,7,20
16,95,18,69,5,17
20,51,44,48,5,1
31,79,80,89,5,17
22,46,29,69,5,20
23,97,3,91,4,26
23,35,57,94,4,17
41,43,6,21,7,22
32,79,88,12,5,25
30,46,9,67,4,7
44,87,99,69,5,12
28,93,0,56,5,8
44,73,35,23,6,3
16,68,87,67,6,16
35,42,95,93,7,17
34,66,60,53,7,21
23,50,11,3,5,10
44,95,4,59,6,5
29,33,69,58,4,11
26,70,50,30,5,29
17,76,16,64,6,2
39,38,54,83,6,2
15,93,47,53,6,4
18,52,75,13,5,23
34,73,1,19,5,21
40,40,31,60,5,15
24,37,70,86,5,20
44,69,15,86,7,25
25,68,77,70,4,25
19,81,58,76,5,5
24,97,0,49,7,3
29,67,97,85,4,23
27,78,52,90,6,21
43,60,81,81,7,14
35,88,56,17,6,28
16,83,3,31,4,10
33,42,2,18,5,8
31,39,74,75,5,5
39,90,85,12,5,25
33,77,12,50,5,24
38,32,99,39,4,29
24,98,5,24,5,16
21,94,75,25,4,25
40,61,30,86,7,27
43,69,42,75,6,21
44,47,89,60,7,3
37,84,15,32,5,3
33,83,9,67,7,15
38,48,28,53,6,24
21,94,41,45,7,15
32,53,48,49,4,2
21,52,11,73,5,6
39,40,87,56,5,13
44,39,42,3,5,28
18,65,10,67,7,2
28,51,91,77,4,18
41,73,37,70,6,23
35,30,1,94,4,26
43,54,74,88,7,6
38,84,45,1,7,19
44,96,55,85,7,29
43,34,33,78,7,1
19,47,97,44,5,20
32,40,39,32,7,8
16,56,24,60,7,29
16,64,65,88,7,16
43,52,58,37,5,10
35,70,10,52,6,7
26,62,48,41,6,8
43,94,59,12,5,11
35,89,8,99,4,20
32,93,10,12,7,11
18,64,33,63,4,2
43,92,38,97,4,9
30,73,12,81,6,14
15,51,13,87,5,11
41,72,5,52,7,12
28,64,36,74,5,9
32,87,83,75,7,9
29,52,33,69,4,7
23,66,52,66,4,13
21,92,30,67,6,4
33,53,85,60,5,26
42,99,90,39,5,18
27,83,85,0,5,17
21,33,30,72,4,6
37,80,75,62,4,2
20,96,54,74,4,12
22,43,95,67,4,2
36,42,67,75,5,20
17,85,68,55,4,25
26,35,49,9,5,13
29,53,83,77,4,15
40,32,65,63,7,13
34,34,75,5,7,11
31,47,14,17,6,11
27,89,79,66,7,20
32,85,90,72,4,4
26,73,6,49,6,12
21,97,64,10,6,8
32,94,98,43,6,25
15,31,76,63,7,1
38,33,13,2,7,21
17,82,16,40,5,20
42,34,44,59,5,5
29,34,32,70,6,2
16,79,80,4,7,6
30,94,7,51,7,14
29,94,59,6,6,22
25,81,66,59,5,17
23,83,31,53,4,5
15,90,47,2,5,29
41,66,1,58,5,26
25,55,79,90,4,11
22,50,92,61,4,5
34,81,74,3,5,22
22,76,31,38,4,28
43,61,7,48,6,22
20,40,37,17,6,21
35,61,87,34,7,19
39,91,1,94,4,5
22,45,21,95,7,13
20,76,56,74,4,19
18,84,7,54,7,8
28,60,75,58,7,9
22,77,75,58,4,10
19,93,65,55,7,7
43,34,73,25,5,21
39,42,11,74,5,24
35,61,10,84,7,26
21,45,95,96,5,20
27,35,67,27,4,21
44,49,61,66,7,15
17,98,39,89,4,16
25,46,70,16,7,11
33,59,93,60,7,4
38,95,30,78,4,20
41,82,80,79,4,26
40,35,35,58,5,6
35,35,83,10,7,9
42,80,58,3,6,7
43,76,83,95,6,22
22,57,59,24,4,13
44,36,88,19,6,4
38,46,23,31,4,21
37,30,61,9,6,26
18,52,35,22,6,17
32,77,39,84,5,4
16,85,93,59,4,13
42,75,91,25,7,25
42,70,51,3,6,8
19,43,22,74,4,13
17,91,21,16,5,4
27,86,96,2,7,28
26,74,38,68,4,19
27,32,35,2,4,6
36,94,3,59,5,1
36,90,31,92,5,20
16,74,40,60,6,18
31,77,50,98,5,11
39,39,63,92,4,12
42,77,22,65,4,21
16,56,95,79,6,11
15,95,85,84,5,1
21,49,46,1,6,12
23,40,59,52,5,0
37,59,65,24,6,24
43,35,46,3,5,26
37,83,39,28,6,27
31,80,55,30,4,22
38,30,92,1,6,15
31,45,84,78,7,9
25,64,73,15,4,6
21,90,43,55,5,2
44,92,80,0,4,3
40,71,68,13,7,25
35,54,73,80,7,1
38,61,48,0,5,28
19,78,75,72,6,28
27,74,62,38,7,1
16,42,12,26,5,3
20,59,54,79,7,20
43,58,70,40,7,26
19,41,62,82,7,9
17,74,86,53,5,29
44,35,80,37,4,16
20,64,24,28,4,20
24,38,46,44,4,24
43,87,28,10,6,11
35,60,71,16,7,23
31,31,23,51,6,12
30,67,22,31,7,21
22,56,6,93,4,18
31,33,26,95,7,29
15,48,54,0,6,27
40,76,52,88,7,26
24,45,53,32,5,11
30,76,30,61,7,14
23,81,96,30,4,8
16,52,26,54,4,6
24,63,27,78,4,22
29,78,34,41,4,22
33,74,37,4,5,16
17,68,32,63,6,15
25,86,53,88,4,24
24,84,49,87,4,12
35,54,38,97,7,24
22,37,77,0,6,13
24,43,87,89,4,3
27,72,34,6,6,25
40,83,30,58,5,29
27,33,91,54,7,19
35,87,82,15,4,28
38,75,69,45,7,6
15,91,65,17,5,12
41,57,46,69,7,14
36,49,77,49,7,23
42,93,94,10,4,1
18,91,27,35,4,24
18,73,75,32,7,26
31,80,41,94,7,20
16,62,62,42,6,24
20,51,16,71,6,4
17,58,7,32,6,20
26,89,87,37,5,28
44,73,49,63,7,25
31,95,42,66,5,1
20,88,69,50,5,3
36,35,1,22,4,1
17,52,21,63,4,28
32,97,74,87,4,11
15,50,77,20,5,8
18,83,23,14,7,16
35,47,20,51,4,12
23,90,52,97,5,25
36,45,20,52,5,18
44,54,34,82,7,25
39,51,98,14,6,16
43,88,74,30,7,9
19,75,9,16,7,17
22,42,82,50,6,18
37,66,34,44,4,6
41,49,50,23,7,0
35,65,85,69,5,14
27,85,4,27,4,3
24,94,3,5,4,20
44,97,84,56,4,29
16,90,83,11,5,27
41,74,74,44,4,8
39,67,90,59,6,20
27,66,57,78,5,4
15,54,54,54,6,19
21,66,29,56,4,21
37,55,36,93,7,3
38,79,0,72,7,29
40,40,52,25,4,23
34,96,3,34,7,9
40,38,66,19,6,20
20,61,32,36,7,9
41,91,9,75,5,21
37,55,87,86,4,16
21,55,60,45,6,9
23,51,24,18,7,13
43,49,83,74,6,6
32,66,93,57,5,9
19,33,11,99,5,15
26,61,66,16,5,14
26,85,38,78,4,28
19,83,50,20,5,6
23,92,70,49,5,13
31,39,49,21,7,27
25,67,37,46,6,25
16,56,43,90,5,21
44,96,98,30,6,29
35,31,36,83,7,14
43,99,29,65,7,19
18,45,6,34,6,11
37,43,6,77,7,23
30,72,47,88,6,24
18,89,77,99,5,17
15,46,80,44,7,25
26,67,47,95,5,17
41,49,91,18,5,25
28,34,89,6,5,3
32,36,20,92,7,23
16,40,9,49,4,26
36,48,57,25,4,27
22,42,88,82,4,16
41,46,38,26,4,16
42,80,14,50,5,22
33,90,74,98,5,23
27,71,49,1,7,22
35,86,88,16,4,4
35,78,65,16,5,14
36,79,31,60,7,6
39,79,69,69,5,18
15,44,82,88,6,21
32,74,5,85,5,0
17,38,60,18,6,12
40,84,52,7,7,27
41,73,56,28,5,24
43,92,77,80,6,25
41,94,69,90,4,14
17,55,58,44,4,24
28,55,66,80,4,24
34,74,74,48,5,18
22,30,14,74,6,13
29,92,82,17,6,6
17,30,66,13,5,2
37,76,85,77,7,3
28,95,38,73,4,22
36,72,85,53,7,23
15,30,1,23,4,3
39,58,25,8,7,0
27,46,57,50,7,2
31,96,85,42,4,27
42,90,4,82,5,15
40,86,73,74,4,4
17,80,5,83,4,6
29,86,2,81,7,23
28,38,80,39,6,23
18,82,20,28,6,12
29,53,72,73,7,12
24,51,31,41,6,3
34,89,74,75,7,24
27,34,83,96,5,1
24,44,84,14,6,6
42,30,39,78,7,11
22,34,56,1,5,9
26,77,99,57,7,23
17,41,16,46,5,9
44,70,26,96,5,8
36,58,8,29,4,5
31,42,49,77,7,12
38,42,11,67,7,21
27,80,24,74,7,28
44,88,39,3,7,2
30,44,96,56,7,14
28,30,56,28,7,9
19,98,43,2,5,15
40,73,45,63,4,12
26,46,11,44,4,26
25,69,46,69,7,11
19,31,89,34,4,18
35,92,25,9,4,4
18,57,23,49,5,26
15,34,63,9,7,11
18,39,65,62,7,15
21,66,22,5,5,28
19,64,75,22,4,22
17,37,2,14,5,6
28,89,14,12,7,16
43,57,89,47,4,0
25,35,92,94,7,21
43,88,85,64,6,8
29,33,57,18,5,2
29,85,12,35,5,22
24,50,1,88,7,25
34,57,7,49,5,18
21,35,47,46,7,26
44,88,56,76,4,9
44,70,86,79,7,3
24,45,57,84,5,20
27,68,86,41,7,2
22,82,75,26,7,20
27,40,16,83,7,14
22,31,43,68,5,7
25,84,50,28,4,13
33,98,69,84,7,5
20,90,24,87,5,22
17,36,18,82,6,11
20,38,14,37,6,20
28,81,8,76,7,27
40,32,83,43,5,3
40,71,95,77,5,21
32,54,30,12,4,7
44,64,27,43,7,17
36,78,30,74,5,14
19,85,14,14,4,1
33,87,75,58,7,1
27,47,70,88,7,12
16,88,36,61,7,16
25,87,69,11,5,1
33,60,91,65,6,0
17,87,34,48,5,28
17,97,77,30,4,13
41,68,27,57,6,17
17,34,94,52,7,12
44,90,2,11,4,20
39,98,88,53,5,28
42,99,99,17,7,26
24,47,68,98,7,0
26,48,29,56,7,8
29,68,83,76,5,11
25,62,41,13,5,25
15,57,27,54,6,17
22,68,86,0,5,8
35,47,96,78,6,11
24,40,29,8,6,5
29,65,8,80,4,15
29,82,65,27,7,9
42,61,90,26,4,16
37,75,98,47,7,17
29,83,65,44,4,14
23,70,90,15,7,16
16,95,43,89,6,12
23,64,3,78,5,19
34,77,84,19,7,3
17,59,13,6,5,11
25,74,51,86,5,29
36,55,42,70,5,7
38,91,43,84,4,28
24,74,79,35,6,16
40,69,16,18,5,29
22,71,62,62,6,26
25,70,2,25,6,29
24,79,68,20,5,3
40,96,68,15,5,13
43,49,51,90,6,20
21,37,33,56,6,1
43,49,2,23,6,3
38,66,29,15,5,7
23,64,57,69,5,11
29,62,30,10,6,8
37,82,83,54,5,10
27,78,75,3,7,13
27,95,10,37,4,12
18,73,18,21,7,5
43,55,1,15,5,9
29,69,7,69,7,22
35,39,22,71,5,20
36,79,66,2,7,4
28,55,64,92,6,20
22,68,71,33,4,13
36,71,79,39,7,3
39,47,67,86,5,15
19,77,89,24,5,28
42,83,47,69,5,11
37,50,93,59,4,20
37,79,76,34,7,12
24,88,61,39,5,6
28,73,48,92,4,0
43,60,56,98,5,6
40,94,43,60,4,7
35,81,19,99,6,13
36,84,63,87,4,9
